,,,,-HAUTE-CORSE,,,
10984,2B,2B102,20290,Crocicchia,crocicchia,42.475206831683,9.353534950495
10985,2B,2B105,20212,Erbajolo,erbajolo,42.252073040541,9.2668181081081
10986,2B,2B106,20244,Érone,erone,42.375754487179,9.2702566666667
10987,2B,2B107,20275,Ersa,ersa,42.994965568627,9.3774941568627
10988,2B,2B109,20253,Farinole,farinole,42.730769448819,9.3543281889764
10989,2B,2B110,20212,Favalello,favalello,42.289336850394,9.2525918897638
10990,2B,2B111,20234,Felce,felce,42.343443625,9.42194225
10991,2B,2B112,20225,Feliceto,feliceto,42.55286675,8.9405582
10992,2B,2B113,20237,Ficaja,ficaja,42.420682717391,9.3782232608696
10993,2B,2B116,20212,Focicchia,focicchia,42.246773863636,9.2857207575758
10994,2B,2B120,20600,Furiani,furiani,42.651312314815,9.4186262962963
10995,2B,2B121,20245,Galéria,galeria,42.410646826801,8.6745967635904
10996,2B,2B122,20218,Gavignano,gavignano,42.425976666667,9.249797716895
10997,2B,2B123,20240,Ghisonaccia,ghisonaccia,42.050024551495,9.4118451495017
10998,2B,2B124,20227,Ghisoni,ghisoni,42.089812782875,9.225079266055
10999,2B,2B125,20237,Giocatojo,giocatojo,42.443426851852,9.3456075925926
11000,2B,2B126,20251,Giuncaggio,giuncaggio,42.185044007782,9.3918784046693
11001,2B,2B134,20220,L'Île-Rousse,l ile rousse,42.637195345912,8.934462327044
11002,2B,2B135,20243,Isolaccio-di-Fiumorbo,isolaccio di fiumorbo,42.011689043478,9.2810548695652
11003,2B,2B136,20218,Lama,lama,42.579865354331,9.1644417322835
11004,2B,2B137,20244,Lano,lano,42.382694786325,9.2315861538462
11005,2B,2B138,20225,Lavatoggio,lavatoggio,42.574189366197,8.8632770422535
11006,2B,2B140,20252,Lento,lento,42.524761554404,9.2690427979275
11007,2B,2B143,20230,Linguizzetta,linguizzetta,42.208248682432,9.5015880405405
11008,2B,2B145,20215,Loreto-di-Casinca,loreto di casinca,42.47625875,9.4291018055556
11009,2B,2B147,20224,Lozzi,lozzi,42.357436242038,8.9862931210191
11010,2B,2B148,20290,Lucciana,lucciana,42.536663193717,9.4668253403141
11011,2B,2B149,20240,Lugo-di-Nazza,lugo di nazza,42.076984967742,9.3300693548387
11012,2B,2B150,20260,Lumio,lumio,42.589071936274,8.8208479901961
11013,2B,2B152,20228,Luri,luri,42.891788971429,9.4211635428571
11014,2B,2B153,20245,Manso,manso,42.369854985673,8.8046501146132
11015,2B,2B155,20270,Matra,matra,42.279254411765,9.3874555882353
11016,2B,2B156,20259,Mausoléo,mausoleo,42.500497651515,8.9764975757576
11017,2B,2B157,20212,Mazzola,mazzola,42.306151,9.3245062
11018,2B,2B159,20287,Meria,meria,42.920364296875,9.44551703125
11019,2B,2B161,20270,Moïta,moita,42.281423684211,9.4091036842105
11020,2B,2B162,20218,Moltifao,moltifao,42.480460342466,9.1189848972603
11021,2B,2B164,20229,Monacia-d'Orezza,monacia d orezza,42.381040581395,9.40465
11022,2B,2B165,20214,Moncale,moncale,42.506288958333,8.8241767708333
11023,2B,2B166,20290,Monte,monte,42.492595188679,9.4120410849057
11024,2B,2B167,20214,Montegrosso,montegrosso,42.545269812207,8.8607603755868
11025,2B,2B168,20220,Monticello,monticello,42.625500509554,8.9615816560509
11026,2B,2B169,20218,Morosaglia,morosaglia,42.450614529915,9.2457427777778
11027,2B,2B170,20238,Morsiglia,morsiglia,42.942121239669,9.3637658677686
11028,2B,2B171,20219,Muracciole,muracciole,42.174304137931,9.1864592241379
11029,2B,2B172,20239,Murato,murato,42.571413072626,9.3222330726257
11030,2B,2B173,20225,Muro,muro,42.542536099291,8.9187904255319
11031,2B,2B175,20225,Nessa,nessa,42.554015648148,8.9545598148148
11032,2B,2B176,20229,Nocario,nocario,42.393574126984,9.3506371428571
11033,2B,2B177,20242,Noceta,noceta,42.206053007519,9.2092269924812
11034,2B,2B178,20217,Nonza,nonza,42.786568492063,9.3504028571429
11035,2B,2B179,20234,Novale,novale,42.305536464646,9.4128508080808
11036,2B,2B180,20226,Novella,novella,42.598667783251,9.1006322167488
11037,2B,2B182,20226,Occhiatana,occhiatana,42.598807816092,9.0043720114942
11038,2B,2B183,20217,Ogliastro,ogliastro,42.815219642857,9.3524117857143
11039,2B,2B184,20217,Olcani,olcani,42.804337553191,9.3850864893617
11040,2B,2B185,20232,Oletta,oletta,42.639085086957,9.347595173913
11041,2B,2B187,20217,Olmeta-di-Capocorso,olmeta di capocorso,42.763430340136,9.3760959863946
11042,2B,2B188,20232,Olmeta-di-Tuda,olmeta di tuda,42.611738535032,9.364901656051
11043,2B,2B190,20259,Olmi-Cappella,olmi cappella,42.515428172589,9.013930786802
11044,2B,2B192,20290,Olmo,olmo,42.501689083333,9.4140773333333
11045,2B,2B193,20236,Omessa,omessa,42.379801878173,9.192512284264
11046,2B,2B194,20234,Ortale,ortale,42.312027034483,9.4371545517241
11047,2B,2B195,20290,Ortiporio,ortiporio,42.458726385542,9.3490053012048
11048,2B,2B199,20226,Palasca,palasca,42.642324247312,9.0588852688172
11049,2B,2B201,20251,Pancheraccia,pancheraccia,42.217847,9.371404
11050,2B,2B201,20270,Pancheraccia,pancheraccia,42.217847,9.371404
11051,2B,2B202,20229,Parata,parata,42.366595797101,9.4186536231884
11052,2B,2B205,20253,Patrimonio,patrimonio,42.703921677019,9.3591201242236
11053,2B,2B206,20290,Penta-Acquatella,penta acquatella,42.463733382353,9.3722092647059
11054,2B,2B207,20213,Penta-di-Casinca,penta di casinca,42.456427095238,9.4857074285714
11055,2B,2B208,20234,Perelli,perelli,42.318227378641,9.3932550485437
11056,2B,2B210,20230,Pero-Casevecchie,pero casevecchie,42.417049883721,9.4646346511628
11057,2B,2B213,20272,Pianello,pianello,42.296106422018,9.3599577981651
11058,2B,2B214,20215,Piano,piano,42.43847578125,9.39862578125
11059,2B,2B216,20234,Piazzali,piazzali,42.319704181818,9.404868
11060,2B,2B217,20229,Piazzole,piazzole,42.39500875,9.4044026136364
11061,2B,2B218,20251,Piedicorte-di-Gaggio,piedicorte di gaggio,42.216000327103,9.3242475233645
11062,2B,2B219,20229,Piedicroce,piedicroce,42.38492392,9.37090552
11063,2B,2B220,20218,Piedigriggio,piedigriggio,42.445322886598,9.1839195876289
11064,2B,2B221,20229,Piedipartino,piedipartino,42.360520441176,9.3489097058824
11065,2B,2B222,20229,Pie-d'Orezza,pie d orezza,42.374156125,9.33801225
11066,2B,2B223,20218,Pietralba,pietralba,42.54210203125,9.1738725
11067,2B,2B224,20233,Pietracorbara,pietracorbara,42.849524678899,9.4510410091743
11068,2B,2B225,20230,Pietra-di-Verde,pietra di verde,42.293669732143,9.4427865178571
11069,2B,2B226,20251,Pietraserena,pietraserena,42.234959918033,9.3567256557377
11070,2B,2B227,20234,Pietricaggio,pietricaggio,42.329627088608,9.3804727848101
11071,2B,2B229,20242,Pietroso,pietroso,42.126024830918,9.3104496135266
11072,2B,2B230,20246,Piève,pieve,42.590500510204,9.2792695238095
11073,2B,2B231,20220,Pigna,pigna,42.600047155963,8.9000359633028
11074,2B,2B233,20228,Pino,pino,42.907701232877,9.3485153424658
11075,2B,2B234,20234,Piobetta,piobetta,42.342845,9.3728073684211
11076,2B,2B235,20259,Pioggiola,pioggiola,42.520534861111,8.9749518518519
11077,2B,2B236,20240,Poggio-di-Nazza,poggio di nazza,42.047310365854,9.3086400609756
11078,2B,2B238,20250,Poggio-di-Venaco,poggio di venaco,42.268986988636,9.2036693181818
11079,2B,2B239,20232,Poggio-d'Oletta,poggio d oletta,42.648711666667,9.3630129824561
11080,2B,2B241,20237,Poggio-Marinaccio,poggio marinaccio,42.436380520833,9.3549814583333
11081,2B,2B242,20230,Poggio-Mezzana,poggio mezzana,42.400260866667,9.5055947333333
11082,2B,2B243,20229,Polveroso,polveroso,42.401445454545,9.3644163636364
11083,2B,2B244,20218,Popolasca,popolasca,42.433979358974,9.1398247435897
11084,2B,2B245,20215,Porri,porri,42.44901313253,9.4467237349398
11085,2B,2B246,20237,La Porta,la porta,42.428606756757,9.369383963964
11086,2B,2B248,20218,Prato-di-Giovellina,prato di giovellina,42.415542121212,9.1662003030303
11087,2B,2B250,20290,Prunelli-di-Casacconi,prunelli di casacconi,42.509768,9.4036707272727
11088,2B,2B251,20243,Prunelli-di-Fiumorbo,prunelli di fiumorbo,42.006883173432,9.3663497047971
11089,2B,2B252,20213,Pruno,pruno,42.426714067797,9.4497099152542
11090,2B,2B255,20237,Quercitello,quercitello,42.431307628866,9.357266185567
11091,2B,2B256,20229,Rapaggio,rapaggio,42.375490178571,9.38180375
11092,2B,2B257,20246,Rapale,rapale,42.62236226087,9.2958727391304
11093,2B,2B260,20250,Riventosa,riventosa,42.248256637168,9.2023825663717
11094,2B,2B261,20247,Rogliano,rogliano,42.9744145,9.4283801
11095,2B,2B261,20248,Rogliano,rogliano,42.9436379,9.4505993
11096,2B,2B263,20242,Rospigliani,rospigliani,42.195176585366,9.2397474390244
11097,2B,2B264,20244,Rusio,rusio,42.352546266667,9.260832
11098,2B,2B265,20239,Rutali,rutali,42.585947101449,9.3809373913044
11099,2B,2B267,20218,Saliceto,saliceto,42.413506701571,9.2551467539267
11100,2B,2B273,20213,Scata,scata,42.423256557377,9.4040706557377
11101,2B,2B274,20290,Scolca,scolca,42.53337675,9.37176575
11102,2B,2B275,20212,Sermano,sermano,42.311399892473,9.2680255913978
11103,2B,2B277,20243,Serra-di-Fiumorbo,serra di fiumorbo,41.970049779874,9.3320210062893
11104,2B,2B280,20215,Silvareccio,silvareccio,42.452358615385,9.4222956923077
11105,2B,2B281,20233,Sisco,sisco,42.811703411765,9.45414
11106,2B,2B283,20240,Solaro,solaro,41.875407148014,9.3298059205776
11107,2B,2B286,20213,Sorbo-Ocagnano,sorbo ocagnano,42.47804576,9.46884032
11108,2B,2B287,20246,Sorio,sorio,42.579454727273,9.2509915454545
11109,2B,2B289,20250,Soveria,soveria,42.350679608939,9.1481610614525
11110,2B,2B290,20226,Speloncato,speloncato,42.574911436464,8.9694756353591
11111,2B,2B291,20229,Stazzona,stazzona,42.378394854369,9.3736093203883
11112,2B,2B292,20212,Sant'Andréa-di-Bozio,sant andrea di bozio,42.274938346457,9.2815455511811
11113,2B,2B293,20221,Sant'Andréa-di-Cotone,sant andrea di cotone,42.316369808917,9.475395477707
11114,2B,2B296,20220,Sant'Antonino,sant antonino,42.584092222222,8.908586969697
11115,2B,2B297,20213,San-Damiano,san damiano,42.405167128713,9.4116246534653
11116,2B,2B298,20217,Saint-Florent,saint florent,42.692027625698,9.2764023743017
11117,2B,2B299,20213,San-Gavino-d'Ampugnani,san gavino d ampugnani,42.418710847458,9.4265357627119
11118,2B,2B301,20246,San-Gavino-di-Tenda,san gavino di tenda,42.650940780142,9.1618931678487
11119,2B,2B302,20230,San-Giovanni-di-Moriani,san giovanni di moriani,42.376816263736,9.4687266483516
11120,2B,2B303,20230,San-Giuliano,san giuliano,42.29319921875,9.5151715625
11121,2B,2B304,20244,San-Lorenzo,san lorenzo,42.388239328358,9.2900288059702
11122,2B,2B305,20200,San-Martino-di-Lota,san martino di lota,42.732953809524,9.4391081746032
11123,2B,2B306,20250,Santa-Lucia-di-Mercurio,santa lucia di mercurio,42.313533354839,9.2158761935484
11124,2B,2B307,20230,Santa-Lucia-di-Moriani,santa lucia di moriani,42.382837622378,9.5037274825175
11125,2B,2B309,20200,Santa-Maria-di-Lota,santa maria di lota,42.750139305556,9.4305167361111
11126,2B,2B311,20221,Santa-Maria-Poggio,santa maria poggio,42.347493597122,9.5153743165468
11127,2B,2B313,20230,San-Nicolao,san nicolao,42.369176614173,9.505532992126
11128,2B,2B314,20217,Santo-Pietro-di-Tenda,santo pietro di tenda,42.7823216,9.3562094
11129,2B,2B314,20246,Santo-Pietro-di-Tenda,santo pietro di tenda,42.6292502,9.2120593
11130,2B,2B315,20250,Santo-Pietro-di-Venaco,santo pietro di venaco,42.244115705128,9.1826792948718
11131,2B,2B316,20220,Santa-Reparata-di-Balagna,santa reparata di balagna,42.604508018018,8.9305313513514
11132,2B,2B317,20230,Santa-Reparata-di-Moriani,santa reparata di moriani,42.350133804348,9.4591830434783
11133,2B,2B318,20230,Taglio-Isolaccio,taglio isolaccio,42.434111707317,9.4987494512195
11134,2B,2B319,20230,Talasani,talasani,42.41659775641,9.5050521153846
11135,2B,2B320,20270,Tallone,tallone,42.194405788177,9.4627582758621
11136,2B,2B321,20234,Tarrano,tarrano,42.343354712644,9.4028871264368
11137,2B,2B327,20248,Tomino,tomino,42.947846419753,9.4503425925926
11138,2B,2B328,20270,Tox,tox,42.238448172043,9.4496356989247
11139,2B,2B329,20250,Tralonca,tralonca,42.339573146067,9.1901395505618
11140,2B,2B332,20218,Urtaca,urtaca,42.626480294118,9.1413031176471
11141,2B,2B333,20232,Vallecalle,vallecalle,42.599898230089,9.3343146902655
11142,2B,2B334,20234,Valle-d'Alesani,valle d alesani,42.326122545455,9.4349418787879
11143,2B,2B335,20221,Valle-di-Campoloro,valle di campoloro,42.335390769231,9.5109771153846
11144,2B,2B337,20235,Valle-di-Rostino,valle di rostino,42.459714615385,9.2569774358974
11145,2B,2B338,20229,Valle-d'Orezza,valle d orezza,42.362034,9.4036154285714
11146,2B,2B339,20259,Vallica,vallica,42.5127456,9.0517511
11147,2B,2B340,20230,Velone-Orneto,velone orneto,42.389873117647,9.4591764117647
11148,2B,2B341,20231,Venaco,venaco,42.216894466403,9.1502579051383
11149,2B,2B342,20240,Ventiseri,ventiseri,41.937588901734,9.3574124855491
11150,2B,2B343,20215,Venzolasca,venzolasca,42.495952945736,9.4770518604651
11151,2B,2B344,20229,Verdèse,verdese,42.393806595745,9.3733363829787
11152,2B,2B346,20215,Vescovato,vescovato,42.516794213483,9.4768034269663
11153,2B,2B347,20242,Vezzani,vezzani,42.15400081571,9.2964810574018
11154,2B,2B350,20290,Vignale,vignale,42.532346785714,9.4040904761905
11155,2B,2B352,20279,Ville-di-Paraso,ville di paraso,42.582793161765,8.9888525
11156,2B,2B353,20200,Ville-di-Pietrabugno,ville di pietrabugno,42.714527419355,9.4311499193548
11157,2B,2B354,20219,Vivario,vivario,42.154397443946,9.1233626008969
11158,2B,2B355,20290,Volpajola,volpajola,42.517480736842,9.3734535789474
11159,2B,2B356,20272,Zalana,zalana,42.254020285714,9.3798570714286
11160,2B,2B361,20214,Zilia,zilia,42.522736402439,8.8989840853659
11161,2B,2B364,20272,Zuani,zuani,42.263282560976,9.3420968292683
11162,2B,2B365,20243,San-Gavino-di-Fiumorbo,san gavino di fiumorbo,41.974328418605,9.2557407906977
11163,2B,2B366,20240,Chisa,chisa,41.919355303867,9.2639279558011
