,,,,-ISERE,,,
14424,38,38107,38121,Chonas-l'Amballan,chonas l amballan,45.464022978723,4.8001276595745
14425,38,38108,38680,Choranche,choranche,45.072739234234,5.398946036036
14426,38,38109,38460,Chozeau,chozeau,45.696159,5.2079055
14427,38,38110,38200,Chuzelles,chuzelles,45.578481294118,4.8829772941176
14428,38,38111,38640,Claix,claix,45.11520525641,5.6520230128205
14429,38,38112,38142,Clavans-en-Haut-Oisans,clavans en haut oisans,45.111029134615,6.1664902403846
14430,38,38113,38930,Clelles,clelles,44.827543248945,5.6341293248945
14431,38,38114,38550,Clonas-sur-Varèze,clonas sur vareze,45.419997454545,4.7906443636364
14432,38,38115,38650,Saint-Martin-de-la-Cluze,saint martin de la cluze,44.992186229508,5.6575553278688
14433,38,38116,38350,Cognet,cognet,44.880421607143,5.7749126785714
14434,38,38117,38470,Cognin-les-Gorges,cognin les gorges,45.16576553719,5.4137866115703
14435,38,38118,38690,Colombe,colombe,45.398996,5.452858
14436,38,38120,38190,La Combe-de-Lancey,la combe de lancey,45.204367291667,5.914814375
14437,38,38121,38260,Commelle,commelle,45.444015565217,5.2297593913044
14438,38,38124,38630,Corbelin,corbelin,45.603315959596,5.5475819191919
14439,38,38126,38700,Corenc,corenc,45.229832589286,5.75702375
14440,38,38127,38710,Cornillon-en-Trièves,cornillon en trieves,44.833786595745,5.7012361702128
14441,38,38128,38970,Corps,corps,44.821472792208,5.9347914285714
14442,38,38129,38250,Corrençon-en-Vercors,correncon en vercors,45.0114175,5.5263564102564
14443,38,38130,38260,La Côte-Saint-André,la cote saint andre,45.390061346154,5.2585484615385
14444,38,38131,38138,Les Côtes-d'Arey,les cotes d arey,45.459735060976,4.8756627439024
14445,38,38132,38970,Les Côtes-de-Corps,les cotes de corps,44.837563488372,5.925750620155
14446,38,38133,38500,Coublevie,coublevie,45.356903015873,5.6164699206349
14447,38,38134,38122,Cour-et-Buis,cour et buis,45.437967894737,5.0226078947368
14448,38,38135,38510,Courtenay,courtenay,45.745154886364,5.3876984848485
14449,38,38136,38300,Crachier,crachier,45.547963888889,5.2182768888889
14450,38,38137,38210,Cras,cras,45.273696071429,5.435795625
14451,38,38138,38460,Crémieu,cremieu,45.731143565217,5.2626657391304
14452,38,38139,38510,Creys-Mépieu,creys mepieu,45.738519894737,5.4587200526316
14453,38,38140,38920,Crolles,crolles,45.285550194175,5.8861879611651
14454,38,38141,38300,Culin,culin,45.525288402778,5.24837625
14455,38,38144,38790,Diémoz,diemoz,45.589770724638,5.0865814492754
14456,38,38146,38460,Dizimieu,dizimieu,45.714127385621,5.2802000653595
14457,38,38147,38730,Doissin,doissin,45.502955681818,5.4268204545455
14458,38,38148,38110,Dolomieu,dolomieu,45.613943482143,5.4818074107143
14459,38,38149,38300,Domarin,domarin,45.580801578947,5.246541754386
14460,38,38150,38420,Domène,domene,45.203055681818,5.8427825
14461,38,38151,38130,Échirolles,echirolles,45.144475967742,5.7221551612903
14462,38,38152,38300,Eclose-Badinières,eclose badinieres,45.501135555556,5.2971984057971
14463,38,38153,38360,Engins,engins,45.192312819383,5.6158759030837
14464,38,38154,38740,Entraigues,entraigues,44.89144768,5.96413536
14465,38,38155,38380,Entre-deux-Guiers,entre deux guiers,45.414411568627,5.754681503268
14466,38,38156,38300,Les Éparres,les eparres,45.540240898204,5.2920309580838
14467,38,38157,38780,Estrablin,estrablin,45.509427925532,4.9546608510638
14468,38,38158,38320,Eybens,eybens,45.153532407407,5.74784
14469,38,38159,38690,Eydoche,eydoche,45.444214375,5.32637015625
14470,38,38160,38780,Eyzin-Pinet,eyzin pinet,45.478870314465,4.9907254716981
14471,38,38161,38260,Faramans,faramans,45.388884328358,5.1532355223881
14472,38,38162,38110,Faverges-de-la-Tour,faverges de la tour,45.598998070175,5.5117310526316
14473,38,38163,38580,La Ferrière,la ferriere,45.278730141509,6.0849922641509
14474,38,38166,38530,La Flachère,la flachere,45.400017058824,5.9646015686275
14475,38,38167,38690,Flachères,flacheres,45.471182716049,5.3157856790124
14476,38,38169,38600,Fontaine,fontaine,45.193179803922,5.6669262745098
14477,38,38170,38120,Fontanil-Cornillon,fontanil cornillon,45.258697209302,5.6666286046512
14478,38,38171,38590,La Forteresse,la forteresse,45.293534791667,5.4106633333333
14479,38,38172,38080,Four,four,45.574251570248,5.1937289256198
14480,38,38173,38142,Le Freney-d'Oisans,le freney d oisans,45.085870952381,6.1211931746032
14481,38,38174,38260,La Frette,la frette,45.387742473118,5.3650979569893
14482,38,38175,38190,Froges,froges,45.267019411765,5.9274050588235
14483,38,38176,38290,Frontonas,frontonas,45.644840272727,5.186448
14484,38,38177,38520,La Garde,la garde,45.074755310734,6.0484037853107
14485,38,38179,38610,Gières,gieres,45.186845196078,5.7942370588235
14486,38,38180,38260,Gillonnay,gillonnay,45.393851758242,5.2937065934066
14487,38,38181,38570,Goncelin,goncelin,45.335585,5.9894027358491
14488,38,38182,38690,Le Grand-Lemps,le grand lemps,45.404646153846,5.4067597435897
14489,38,38183,38490,Granieu,granieu,45.598673030303,5.5891493939394
14490,38,38184,38540,Grenay,grenay,45.663747076923,5.0827361538462
14491,38,38185,38000,Grenoble,grenoble,45.1894298,5.7165413
14492,38,38185,38100,Grenoble,grenoble,45.1703012,5.7234505
14493,38,38186,38650,Gresse-en-Vercors,gresse en vercors,44.884009590643,5.558524619883
14494,38,38187,38450,Le Gua,le gua,45.015193728814,5.6294781355932
14495,38,38188,38320,Herbeys,herbeys,45.142647313433,5.7988019402985
14496,38,38189,38540,Heyrieux,heyrieux,45.632265777778,5.0569364444444
14497,38,38190,38118,Hières-sur-Amby,hieres sur amby,45.798003916667,5.2993205833333
14498,38,38191,38750,Huez,huez,45.095290266667,6.0761873333333
14499,38,38192,38570,Hurtières,hurtieres,45.288526721311,5.9652880327869
14500,38,38193,38080,L'Isle-d'Abeau,l isle d abeau,45.618390747664,5.2099743925234
14501,38,38194,38140,Izeaux,izeaux,45.337280246914,5.4288167901235
14502,38,38195,38160,Izeron,izeron,45.144406554054,5.3939364864865
14503,38,38197,38280,Janneyrias,janneyrias,45.747013,5.1170214285714
14504,38,38198,38270,Jarcieu,jarcieu,45.333560465116,4.9484675581395
14505,38,38199,38200,Jardin,jardin,45.493526551724,4.9148965517241
14506,38,38200,38560,Jarrie,jarrie,45.118035887097,5.7458634677419
14507,38,38203,38220,Laffrey,laffrey,45.0274725,5.77407875
14508,38,38204,38930,Lalley,lalley,44.750147480916,5.6852687022901
14509,38,38205,38250,Lans-en-Vercors,lans en vercors,45.13088620915,5.5985064052288
14510,38,38206,38190,Laval,laval,45.240670656934,5.9707070072993
14511,38,38207,38350,Lavaldens,lavaldens,44.989050371901,5.9043165289256
14512,38,38208,38710,Lavars,lavars,44.853019230769,5.673344551282
14513,38,38209,38270,Lentiol,lentiol,45.297038734177,5.1093074683544
14514,38,38210,38460,Leyrieu,leyrieu,45.751168421053,5.255738245614
14515,38,38211,38440,Lieudieu,lieudieu,45.458226046512,5.1802777906977
14516,38,38212,38220,Livet-et-Gavet,livet et gavet,45.092540419847,5.9181193129771
14517,38,38213,38690,Longechenal,longechenal,45.419421081081,5.3570013513514
14518,38,38214,38660,Lumbin,lumbin,45.305941818182,5.9093078409091
14519,38,38215,38200,Luzinay,luzinay,45.585216744186,4.9554144186046
14520,38,38216,38470,Malleval-en-Vercors,malleval en vercors,45.151433423423,5.4403975675676
14521,38,38217,38350,Marcieu,marcieu,44.915476770833,5.6867682291667
14522,38,38218,38260,Marcilloles,marcilloles,45.346864428571,5.1717821428571
14523,38,38219,38270,Marcollin,marcollin,45.312208085106,5.0976085106383
14524,38,38221,38980,Marnans,marnans,45.291721304348,5.2507823913043
14525,38,38222,38620,Massieu,massieu,45.437820952381,5.5987238095238
14526,38,38223,38300,Maubec,maubec,45.56259528,5.26074424
14527,38,38224,38350,Mayres-Savel,mayres savel,44.885944653465,5.7070833663366
14528,38,38225,38112,Autrans-Méaudre en Vercors,autrans meaudre en vercors,45.1381304,5.5189872
14529,38,38225,38880,Autrans-Méaudre en Vercors,autrans meaudre en vercors,45.1830798,5.5597844
14530,38,38226,38710,Mens,mens,44.807461880734,5.7404377522936
14531,38,38228,38620,Merlas,merlas,45.439208389262,5.651095704698
14532,38,38229,38240,Meylan,meylan,45.210711811594,5.7896757971014
14533,38,38230,38300,Meyrié,meyrie,45.558989659091,5.2801023863636
14534,38,38231,38440,Meyrieu-les-Étangs,meyrieu les etangs,45.516057368421,5.2042687719298
14535,38,38232,38440,Meyssiez,meyssiez,45.462357724138,5.0623611724138
14536,38,38235,38450,Miribel-Lanchâtre,miribel lanchatre,44.970272986111,5.6048943055556
14537,38,38236,38380,Miribel-les-Échelles,miribel les echelles,45.42895962406,5.7096459398496
14538,38,38237,38142,Mizoën,mizoen,45.049330428571,6.1827488571429
14539,38,38238,38440,Moidieu-Détourbe,moidieu detourbe,45.517230737705,5.0251368032787
14540,38,38239,38430,Moirans,moirans,45.324258382353,5.5580535294118
14541,38,38240,38270,Moissieu-sur-Dolon,moissieu sur dolon,45.393224832215,4.989484295302
14542,38,38241,38970,Monestier-d'Ambel,monestier d ambel,44.76544952381,5.9161652380952
14543,38,38242,38650,Monestier-de-Clermont,monestier de clermont,44.926773,5.6368926666667
14544,38,38243,38930,Le Monestier-du-Percy,le monestier du percy,44.788932367347,5.6521555102041
14545,38,38244,38122,Monsteroux-Milieu,monsteroux milieu,45.438127407407,4.9490781481481
14546,38,38245,38160,Montagne,montagne,45.142512751678,5.1983414765101
14547,38,38246,38110,Montagnieu,montagnieu,45.527085952381,5.4443388888889
14548,38,38247,38390,Montalieu-Vercieu,montalieu vercieu,45.811842195122,5.3976192682927
14549,38,38248,38210,Montaud,montaud,45.264821097561,5.5676593902439
14550,38,38249,38330,Montbonnot-Saint-Martin,montbonnot saint martin,45.219729705882,5.8117270588235
14551,38,38250,38890,Montcarra,montcarra,45.607548902439,5.404228902439
14552,38,38252,38220,Montchaboud,montchaboud,45.091905641026,5.7611917948718
14553,38,38253,38520,Les Deux Alpes,les deux alpes,45.0176294,6.1248743
14554,38,38253,38860,Les Deux Alpes,les deux alpes,45.0176294,6.1248743
14555,38,38254,38770,Monteynard,monteynard,44.980776029412,5.7006482352941
14556,38,38255,38940,Montfalcon,montfalcon,45.2595682,5.1648926
14557,38,38256,38620,Montferrat,montferrat,45.478739404762,5.5820902380952
14558,38,38257,38690,Montrevel,montrevel,45.473509069767,5.4096030232558
14559,38,38258,38120,Mont-Saint-Martin,mont saint martin,45.282892238806,5.682907761194
14560,38,38259,38122,Montseveroux,montseveroux,45.429319690266,4.9758219911504
14561,38,38260,38460,Moras,moras,45.690925057471,5.2678185057471
14562,38,38261,38510,Morestel,morestel,45.680717652174,5.4699723478261
14563,38,38263,38210,Morette,morette,45.285621368421,5.4525447368421
14564,38,38264,38350,La Morte,la morte,45.020441272727,5.863399
14565,38,38265,38770,La Motte-d'Aveillans,la motte d aveillans,44.956857983193,5.741083697479
14566,38,38266,38770,La Motte-Saint-Martin,la motte saint martin,44.956760721649,5.7197804123711
14567,38,38267,38260,Mottier,mottier,45.421814842105,5.3051456842105
14568,38,38268,38580,Le Moutaret,le moutaret,45.427027407407,6.0839469135802
14569,38,38269,38350,La Mure,la mure,44.90300827957,5.7843859139785
14570,38,38270,38140,La Murette,la murette,45.382978529412,5.5385207352941
14571,38,38271,38420,Murianette,murianette,45.1903825,5.8284144318182
14572,38,38272,38160,Murinais,murinais,45.210537763158,5.3223243421053
14573,38,38273,38350,Nantes-en-Ratier,nantes en ratier,44.919533275862,5.8271387068965
14574,38,38274,38260,Nantoin,nantoin,45.443145918367,5.2680620408163
14575,38,38275,38470,Serre-Nerpol,serre nerpol,45.253424037267,5.368107204969
14576,38,38276,38300,Nivolas-Vermelle,nivolas vermelle,45.561218918919,5.3083261261261
14577,38,38277,38450,Notre-Dame-de-Commiers,notre dame de commiers,45.009425285714,5.7077162857143
14578,38,38278,38470,Notre-Dame-de-l'Osier,notre dame de l osier,45.236254214876,5.4144134710744
14579,38,38279,38220,Notre-Dame-de-Mésage,notre dame de mesage,45.07045,5.7491459677419
14580,38,38280,38144,Notre-Dame-de-Vaulx,notre dame de vaulx,44.992988,5.7389443809524
14581,38,38281,38360,Noyarey,noyarey,45.241369047619,5.606663968254
14582,38,38282,38460,Optevoz,optevoz,45.754441754386,5.3368583333333
14583,38,38283,38350,Oris-en-Rattier,oris en rattier,44.936207258065,5.8798566935484
14584,38,38284,38260,Ornacieux,ornacieux,45.4043265,5.2168015
14585,38,38285,38520,Ornon,ornon,45.040516502732,5.9709878142076
14586,38,38286,38520,Oulles,oulles,45.070561538462,5.9672019871795
14587,38,38287,38690,Oyeu,oyeu,45.425632043796,5.485100729927
14588,38,38288,38780,Oytier-Saint-Oblas,oytier saint oblas,45.562667833333,5.0298301666667
14589,38,38289,38114,Oz,oz,45.128968082192,6.0739334703196
14590,38,38290,38270,Pact,pact,45.352717741935,4.9868683870968
14591,38,38291,38260,Pajay,pajay,45.359385492958,5.1279207042253
14592,38,38292,38730,Villages du Lac de Paladru,villages du lac de paladru,45.451742,5.5300116
14593,38,38292,38850,Villages du Lac de Paladru,villages du lac de paladru,45.474297,5.5509639
14594,38,38293,38730,Panissage,panissage,45.491137714286,5.4572302857143
14595,38,38294,38460,Panossas,panossas,45.677207142857,5.1940234285714
14596,38,38295,38390,Parmilieu,parmilieu,45.850278941176,5.3554748235294
14597,38,38296,38490,Le Passage,le passage,45.529411724138,5.5183748275862
14598,38,38297,38510,Arandon-Passins,arandon passins,45.711297546296,5.441630462963
14599,38,38298,38550,Le Péage-de-Roussillon,le peage de roussillon,45.373062222222,4.7885525
14600,38,38299,38970,Pellafol,pellafol,44.788291534392,5.8827385185185
14601,38,38300,38260,Penol,penol,45.365536792453,5.1683011320755
14602,38,38301,38930,Percy,percy,44.793183525641,5.6322823397436
14603,38,38302,38740,Le Périer,le perier,44.940238802083,5.9781211458333
14604,38,38303,38570,La Pierre,la pierre,45.289921372549,5.9453029411765
14605,38,38304,38119,Pierre-Châtel,pierre chatel,44.956056526316,5.7740826315789
14606,38,38306,38580,Pinsot,pinsot,45.346896969697,6.126412034632
14607,38,38307,38270,Pisieu,pisieu,45.391025942029,5.0690589130435
14608,38,38308,38590,Plan,plan,45.31798980198,5.3881510891089
14609,38,38309,38320,Poisat,poisat,45.153610909091,5.7645863636364
14610,38,38310,38210,Poliénas,polienas,45.253165277778,5.4767383333333
14611,38,38311,38260,Pommier-de-Beaurepaire,pommier de beaurepaire,45.394599502762,5.1109079558011
14612,38,38313,38350,Ponsonnas,ponsonnas,44.889374137931,5.799144137931
14613,38,38314,38530,Pontcharra,pontcharra,45.416680819672,6.0266119672131
14614,38,38315,38480,Le Pont-de-Beauvoisin,le pont de beauvoisin,45.528750096154,5.6648553846154
14615,38,38316,38230,Pont-de-Chéruy,pont de cheruy,45.751286842105,5.1712615789474
14616,38,38317,38800,Le Pont-de-Claix,le pont de claix,45.12177754717,5.7041869811321
14617,38,38318,38780,Pont-Évêque,pont eveque,45.533794411765,4.9253365686274
14618,38,38319,38680,Pont-en-Royans,pont en royans,45.061366,5.3469464285714
14619,38,38320,38390,Porcieu-Amblagnieu,porcieu amblagnieu,45.835552516556,5.3935250993377
14620,38,38321,38710,Prébois,prebois,44.784176186047,5.706077255814
14621,38,38322,38680,Presles,presles,45.090513575419,5.4026517318436
14622,38,38323,38480,Pressins,pressins,45.524611953125,5.63135375
14623,38,38324,38270,Primarette,primarette,45.404066888889,5.0320524
14624,38,38325,38120,Proveysieux,proveysieux,45.272459060403,5.7101791275168
14625,38,38326,38350,Prunières,prunieres,44.896688369565,5.7608125
14626,38,38328,38950,Quaix-en-Chartreuse,quaix en chartreuse,45.257515168539,5.7313506741573
14627,38,38329,38970,Quet-en-Beaumont,quet en beaumont,44.835507604167,5.8791794791667
14628,38,38330,38470,Quincieu,quincieu,45.280393387097,5.3854630645161
14629,38,38331,38140,Réaumont,reaumont,45.360854883721,5.5249334883721
14630,38,38332,38140,Renage,renage,45.327537244898,5.4910105102041
14631,38,38333,38680,Rencurel,rencurel,45.106313465909,5.4812119886364
14632,38,38334,38420,Revel,revel,45.174326463415,5.8988366463415
14633,38,38335,38270,Revel-Tourdan,revel tourdan,45.37389919708,5.0299777372263
14634,38,38336,38121,Reventin-Vaugris,reventin vaugris,45.479033975155,4.852490931677
14635,38,38337,38140,Rives,rives,45.359192,5.4930413913043
14636,38,38338,38210,La Rivière,la riviere,45.227958888889,5.5154944444444
14637,38,38339,38090,Roche,roche,45.57980097561,5.1617547154471
14638,38,38340,38370,Les Roches-de-Condrieu,les roches de condrieu,45.453382727273,4.7655390909091
14639,38,38341,38110,Rochetoirin,rochetoirin,45.590944553571,5.4155934821429
14640,38,38342,38650,Roissard,roissard,44.879291708543,5.6342106030151
14641,38,38343,38480,Romagnieu,romagnieu,45.558618992806,5.6410504316547
14642,38,38344,38150,Roussillon,roussillon,45.374537903226,4.8126622580645
14643,38,38345,38470,Rovon,rovon,45.18425127451,5.4710954901961
14644,38,38346,38440,Royas,royas,45.507317032967,5.102658021978
14645,38,38347,38940,Roybon,roybon,45.250704107143,5.2491222321429
14646,38,38348,38300,Ruy-Montceau,ruy montceau,45.589835266272,5.3449137278106
14647,38,38349,38550,Sablons,sablons,45.3161709375,4.7868978125
14648,38,38350,38190,Sainte-Agnès,sainte agnes,45.213451826923,5.9520680288462
14649,38,38351,38300,Saint-Agnin-sur-Bion,saint agnin sur bion,45.537737474747,5.239742979798
14650,38,38352,38080,Saint-Alban-de-Roche,saint alban de roche,45.585576744186,5.2232439534884
14651,38,38353,38370,Saint-Alban-du-Rhône,saint alban du rhone,45.420592093023,4.7584846511628
14652,38,38354,38480,Saint-Albin-de-Vaulserre,saint albin de vaulserre,45.50206,5.6957734814815
14653,38,38355,38650,Saint-Andéol,saint andeol,44.951996707317,5.5494081707317
14654,38,38356,38680,Saint-André-en-Royans,saint andre en royans,45.085550403226,5.340587983871
14655,38,38357,38490,Saint-André-le-Gaz,saint andre le gaz,45.545414886364,5.5349345454545
14656,38,38358,38440,Sainte-Anne-sur-Gervonde,sainte anne sur gervonde,45.500567676768,5.2360748484848
14657,38,38359,38160,Saint Antoine l'Abbaye,saint antoine l abbaye,45.179531084906,5.2226837735849
14658,38,38360,38160,Saint-Appolinard,saint appolinard,45.184905838509,5.2625417391304
14659,38,38361,38350,Saint-Arey,saint arey,44.881483088235,5.7403010294118
14660,38,38362,38960,Saint-Aupre,saint aupre,45.409751707317,5.6593504878049
14661,38,38363,38270,Saint-Barthélemy,saint barthelemy,45.343675,5.0823140476191
14662,38,38364,38220,Saint-Barthélemy-de-Séchilienne,saint barthelemy de sechilienne,45.043256538462,5.8118555769231
14663,38,38365,38118,Saint-Baudille-de-la-Tour,saint baudille de la tour,45.785507854251,5.3405772469636
14664,38,38366,38710,Saint-Baudille-et-Pipet,saint baudille et pipet,44.784589353234,5.7675961691542
14665,38,38367,38660,Saint-Bernard,saint bernard,45.350669281437,5.8978064670659
14666,38,38368,38140,Saint-Blaise-du-Buis,saint blaise du buis,45.381135491803,5.5102854918033
14667,38,38369,38110,Sainte-Blandine,sainte blandine,45.53918056338,5.4370163380282
14668,38,38370,38840,Saint-Bonnet-de-Chavagne,saint bonnet de chavagne,45.119225480769,5.2261147596154
14669,38,38372,38620,Saint-Bueil,saint bueil,45.475454945055,5.6819408791209
14670,38,38373,38500,Saint-Cassien,saint cassien,45.360472181818,5.5506885454545
14671,38,38374,38890,Saint-Chef,saint chef,45.639442966102,5.3704076271186
14672,38,38375,38520,Saint-Christophe-en-Oisans,saint christophe en oisans,44.934628911565,6.2597541496599
14673,38,38376,38380,Saint-Christophe-sur-Guiers,saint christophe sur guiers,45.412724916201,5.7904713407821
14674,38,38377,38110,Saint-Clair-de-la-Tour,saint clair de la tour,45.569155192308,5.4789563461538
14675,38,38378,38370,Saint-Clair-du-Rhône,saint clair du rhone,45.433617356322,4.7728375862069
14676,38,38379,38940,Saint-Clair-sur-Galaure,saint clair sur galaure,45.26846942623,5.1456366393443
