,,,,-DOUBS,,,
8929,25,25392,25120,Mont-de-Vougney,mont de vougney,47.242949082569,6.7401279816514
8930,25,25393,25190,Montécheroux,montecheroux,47.344065759162,6.7934605235602
8931,25,25394,25260,Montenois,montenois,47.49469890625,6.65946734375
8932,25,25395,25660,Montfaucon,montfaucon,47.239824588235,6.0885183529412
8933,25,25397,25320,Montferrand-le-Château,montferrand le chateau,47.189991012658,5.9181183544304
8934,25,25398,25650,Montflovin,montflovin,46.996082359551,6.4318351685393
8935,25,25400,25111,Montgesoye,montgesoye,47.09077606383,6.1913436170213
8936,25,25401,25110,Montivernage,montivernage,47.311152745098,6.4210615686274
8937,25,25402,25190,Montjoie-le-Château,montjoie le chateau,47.347056153846,6.8982678021978
8938,25,25403,25500,Montlebon,montlebon,47.027293388889,6.6157872777778
8939,25,25404,25270,Montmahoux,montmahoux,46.982189310345,6.0341801149425
8940,25,25405,25160,Montperreux,montperreux,46.820076,6.34766056
8941,25,25406,25660,Montrond-le-Château,montrond le chateau,47.143982133333,6.0462953333333
8942,25,25408,25680,Montussaint,montussaint,47.434749444444,6.2899755555556
8943,25,25410,25660,Morre,morre,47.219872816901,6.0696752112676
8944,25,25411,25500,Morteau,morteau,47.06283641791,6.5868646766169
8945,25,25413,25240,Mouthe,mouthe,46.693919657143,6.2033457714286
8946,25,25414,25170,Le Moutherot,le moutherot,47.243934666667,5.7302591666667
8947,25,25415,25920,Mouthier-Haute-Pierre,mouthier haute pierre,47.035265097276,6.2839111673152
8948,25,25416,25440,Myon,myon,47.003163035714,5.9344557142857
8949,25,25417,25360,Naisey-les-Granges,naisey les granges,47.209841698113,6.2399956603774
8950,25,25418,25360,Nancray,nancray,47.251867432432,6.1795548648649
8951,25,25419,25680,Nans,nans,47.475973673469,6.4107391836735
8952,25,25420,25330,Nans-sous-Sainte-Anne,nans sous sainte anne,46.975408055556,5.9929812962963
8953,25,25421,25210,Narbief,narbief,47.128168513513,6.6920012162162
8954,25,25422,25150,Neuchâtel-Urtière,neuchatel urtiere,47.380319565217,6.7291910869565
8955,25,25424,25580,Les Premiers Sapins,les premiers sapins,47.075090742049,6.3259591519435
8956,25,25425,25500,Noël-Cerneux,noel cerneux,47.107332244898,6.6664651020408
8957,25,25426,25190,Noirefontaine,noirefontaine,47.34634605042,6.7675948739496
8958,25,25427,25170,Noironte,noironte,47.271735072464,5.8681126086957
8959,25,25428,25600,Nommay,nommay,47.538367575758,6.8464827272727
8960,25,25429,25220,Novillars,novillars,47.288166551724,6.1314306896552
8961,25,25430,25640,Ollans,ollans,47.4186436,6.2453672
8962,25,25431,25250,Onans,onans,47.500297647059,6.6048233823529
8963,25,25432,25390,Orchamps-Vennes,orchamps vennes,47.112897640449,6.5201786516854
8964,25,25433,25120,Orgeans-Blanchefontaine,orgeans blanchefontaine,47.268096486487,6.7544622522523
8965,25,25434,25290,Ornans,ornans,47.0998947,6.1183671
8966,25,25434,25620,Ornans,ornans,47.106041,6.147005
8967,25,25435,25530,Orsans,orsans,47.24959994186,6.3828112209302
8968,25,25436,25430,Orve,orve,47.338073076923,6.5577843076923
8969,25,25437,25360,Osse,osse,47.270490957447,6.2168330851064
8970,25,25438,25320,Osselle-Routelle,osselle routelle,47.167453,5.849941
8971,25,25438,25410,Osselle-Routelle,osselle routelle,47.167453,5.849941
8972,25,25439,25640,Ougney-Douvot,ougney douvot,47.3166135,6.2698558
8973,25,25440,25520,Ouhans,ouhans,47.005768556701,6.3125793814433
8974,25,25441,25530,Ouvans,ouvans,47.277586805556,6.4943845833333
8975,25,25442,25160,Oye-et-Pallet,oye et pallet,46.8511240625,6.3429442708333
8976,25,25443,25440,Palantine,palantine,47.100027358491,5.9429996226415
8977,25,25444,25870,Palise,palise,47.365282075472,6.0924571698113
8978,25,25445,25440,Paroy,paroy,47.03668915493,5.882066056338
8979,25,25446,25360,Passavant,passavant,47.274199438202,6.396414494382
8980,25,25447,25690,Passonfontaine,passonfontaine,47.102697741935,6.4145969892473
8981,25,25448,25170,Pelousey,pelousey,47.277801704545,5.9257432954546
8982,25,25449,25190,Péseux,peseux,47.31889043956,6.6848036263736
8983,25,25450,25440,Pessans,pessans,47.071595882353,5.8905225490196
8984,25,25451,25240,Petite-Chaux,petite chaux,46.679032337662,6.1686909090909
8985,25,25452,25310,Pierrefontaine-lès-Blamont,pierrefontaine les blamont,47.373861084337,6.8208796385542
8986,25,25453,25510,Pierrefontaine-les-Varans,pierrefontaine les varans,47.216975049505,6.5603833168317
8987,25,25454,25480,Pirey,pirey,47.263361341463,5.9638995121951
8988,25,25455,25170,Placey,placey,47.258611578947,5.850595
8989,25,25456,25210,Plaimbois-du-Miroir,plaimbois du miroir,47.193991059603,6.6442703311258
8990,25,25457,25390,Plaimbois-Vennes,plaimbois vennes,47.185713571429,6.5550100649351
8991,25,25458,25470,Les Plains-et-Grands-Essarts,les plains et grands essarts,47.305778823529,6.8908848039216
8992,25,25459,25160,La Planée,la planee,46.845285726496,6.2690532478633
8993,25,25460,25440,Le Val,le val,47.063712,5.9008995714286
8994,25,25461,25340,Pompierre-sur-Doubs,pompierre sur doubs,47.424016710526,6.5238809210526
8995,25,25462,25300,Pontarlier,pontarlier,46.915434013605,6.3898344217687
8996,25,25463,25150,Pont-de-Roide-Vermondans,pont de roide vermondans,47.382495121951,6.762346097561
8997,25,25464,25240,Les Pontets,les pontets,46.721146341463,6.1688114634146
8998,25,25465,25110,Pont-les-Moulins,pont les moulins,47.326267884615,6.3648269230769
8999,25,25466,25410,Pouilley-Français,pouilley francais,47.206503333333,5.8452609649123
9000,25,25467,25115,Pouilley-les-Vignes,pouilley les vignes,47.261876067416,5.9337366853933
9001,25,25468,25640,Pouligney-Lusans,pouligney lusans,47.338923059701,6.2020018656716
9002,25,25469,25550,Présentevillers,presentevillers,47.500842926829,6.7297368292683
9003,25,25470,25250,La Prétière,la pretiere,47.446501891892,6.610992972973
9004,25,25471,25380,Provenchère,provenchere,47.290977222222,6.6427645555555
9005,25,25472,25680,Puessans,puessans,47.433254526316,6.324246
9006,25,25473,25720,Pugey,pugey,47.168819589041,5.9914526027397
9007,25,25474,25640,Le Puy,le puy,47.345515647059,6.2298762352941
9008,25,25475,25440,Quingey,quingey,47.106288120301,5.8861302255639
9009,25,25476,25430,Rahon,rahon,47.32455173913,6.5866647826087
9010,25,25477,25320,Rancenay,rancenay,47.186564516129,5.9450746774193
9011,25,25478,25430,Randevillers,randevillers,47.305474886364,6.5262897727273
9012,25,25479,25250,Rang,rang,47.423087826087,6.5615407608696
9013,25,25481,25550,Raynans,raynans,47.534715471698,6.7185228301887
9014,25,25482,25170,Recologne,recologne,47.274588627451,5.8329923529412
9015,25,25483,25240,Reculfoz,reculfoz,46.709503793103,6.1505
9016,25,25485,25150,Rémondans-Vaivre,remondans vaivre,47.381424765625,6.709103046875
9017,25,25486,25160,Remoray-Boujeons,remoray boujeons,46.758498804348,6.2307985326087
9018,25,25487,25520,Renédale,renedale,47.019413454545,6.2787327272727
9019,25,25488,25440,Rennes-sur-Loue,rennes sur loue,47.014969,5.855165
9020,25,25489,25330,Reugney,reugney,47.009506666667,6.1528044047619
9021,25,25490,25640,Rigney,rigney,47.388358862275,6.177374491018
9022,25,25491,25640,Rignosot,rignosot,47.384781515152,6.1981824242424
9023,25,25492,25110,Rillans,rillans,47.413871774194,6.3663108064516
9024,25,25493,25560,La Rivière-Drugeon,la riviere drugeon,46.87238979798,6.2207593939394
9025,25,25494,25370,Rochejean,rochejean,46.732834535519,6.2943255191257
9026,25,25495,25220,Roche-lez-Beaupré,roche lez beaupre,47.281681964286,6.1043753571429
9027,25,25496,25340,Roche-lès-Clerval,roche les clerval,47.363136521739,6.4701552173913
9028,25,25497,25310,Roches-lès-Blamont,roches les blamont,47.411468,6.8526366
9029,25,25498,25680,Rognon,rognon,47.418974146341,6.312693902439
9030,25,25499,25680,Romain,romain,47.443135277778,6.3809383333333
9031,25,25500,25440,Ronchaux,ronchaux,47.0446144,5.9005072
9032,25,25501,25240,Rondefontaine,rondefontaine,46.731952063492,6.1817280952381
9033,25,25502,25410,Roset-Fluans,roset fluans,47.153587166667,5.8285665
9034,25,25503,25190,Rosières-sur-Barbèche,rosieres sur barbeche,47.3151365,6.660698
9035,25,25504,25380,Rosureux,rosureux,47.21256375,6.6777439285714
9036,25,25505,25680,Rougemont,rougemont,47.478196373239,6.3465909507042
9037,25,25506,25640,Rougemontot,rougemontot,47.390040967742,6.2640659677419
9038,25,25507,25440,Rouhe,rouhe,47.087137101449,5.970205942029
9039,25,25508,25640,Roulans,roulans,47.317136144578,6.2392498795181
9040,25,25510,25170,Ruffey-le-Château,ruffey le chateau,47.282028571429,5.8062498319328
9041,25,25511,25290,Rurey,rurey,47.091683628319,5.998980619469
9042,25,25512,25210,Le Russey,le russey,47.155465108696,6.7221292391304
9043,25,25513,25270,Sainte-Anne,sainte anne,46.951361531532,5.9881793693694
9044,25,25514,25370,Saint-Antoine,saint antoine,46.779023394495,6.3346401834862
9045,25,25515,25300,Sainte-Colombe,sainte colombe,46.876586118421,6.2746321710526
9046,25,25516,25340,Saint-Georges-Armont,saint georges armont,47.405436346154,6.5469105769231
9047,25,25517,25520,Saint-Gorgon-Main,saint gorgon main,47.020488589744,6.3335194871795
9048,25,25518,25640,Saint-Hilaire,saint hilaire,47.3344156,6.2422712
9049,25,25519,25190,Saint-Hippolyte,saint hippolyte,47.308180184332,6.8107966820277
9050,25,25520,25360,Saint-Juan,saint juan,47.288238958333,6.34595125
9051,25,25521,25550,Saint-Julien-lès-Montbéliard,saint julien les montbeliard,47.5197175,6.7051115909091
9052,25,25522,25210,Saint-Julien-lès-Russey,saint julien les russey,47.215467475728,6.7235423300971
9053,25,25523,25113,Sainte-Marie,sainte marie,47.502005555556,6.6925887037037
9054,25,25524,25260,Saint-Maurice-Colombier,saint maurice colombier,47.430220206186,6.6469783505155
9055,25,25525,25160,Saint-Point-Lac,saint point lac,46.811029069767,6.2968251162791
9056,25,25526,25630,Sainte-Suzanne,sainte suzanne,47.507395609756,6.7697531707317
9057,25,25527,25410,Saint-Vit,saint vit,47.184959689922,5.8244055813954
9058,25,25528,25440,Samson,samson,47.052018333333,5.8793543333333
9059,25,25529,25430,Sancey,sancey,47.29239470339,6.5767898728814
9060,25,25532,25660,Saône,saone,47.220908205128,6.1093033333333
9061,25,25533,25330,Saraz,saraz,46.993068834951,5.9721717475728
9062,25,25534,25240,Sarrageois,sarrageois,46.708881464968,6.2284514649681
9063,25,25535,25580,Saules,saules,47.124834444444,6.2011848717949
9064,25,25536,25170,Sauvagney,sauvagney,47.3225725,5.9108013157895
9065,25,25537,25290,Scey-Maisières,scey maisieres,47.109838579235,6.0789412021858
9066,25,25538,25110,Séchin,sechin,47.34066862069,6.28612
9067,25,25539,25230,Seloncourt,seloncourt,47.456500657895,6.8639565789474
9068,25,25540,25750,Semondans,semondans,47.539612941176,6.6938229411765
9069,25,25541,25270,Septfontaines,septfontaines,46.973992840909,6.1738197727273
9070,25,25542,25770,Serre-les-Sapins,serre les sapins,47.24109877551,5.9264098979592
9071,25,25544,25430,Servin,servin,47.310443913043,6.4730318478261
9072,25,25545,25330,Silley-Amancey,silley amancey,47.033827391304,6.1341988695652
9073,25,25546,25110,Silley-Bléfond,silley blefond,47.321190506329,6.3320797468354
9074,25,25547,25600,Sochaux,sochaux,47.514658275862,6.828614137931
9075,25,25548,25190,Solemont,solemont,47.341415844156,6.703368961039
9076,25,25549,25520,Sombacour,sombacour,46.948431590909,6.2357547727273
9077,25,25550,25510,La Sommette,la sommette,47.191348269231,6.5095649038462
9078,25,25551,25190,Soulce-Cernay,soulce cernay,47.329409836066,6.8661803278689
9079,25,25552,25250,Sourans,sourans,47.407055925926,6.6389206172839
9080,25,25553,25250,Soye,soye,47.452176777778,6.5035894444444
9081,25,25554,25380,Surmont,surmont,47.277289734513,6.6085946902655
9082,25,25555,25400,Taillecourt,taillecourt,47.49430375,6.8504779166667
9083,25,25556,25680,Tallans,tallans,47.413622820513,6.2853932051282
9084,25,25557,25870,Tallenay,tallenay,47.303502688172,6.0153476344086
9085,25,25558,25620,Tarcenay,tarcenay,47.164977837838,6.1049166216216
9086,25,25559,25470,Thiébouhans,thiebouhans,47.268702920354,6.8428345132743
9087,25,25560,25220,Thise,thise,47.285463333333,6.0829044791667
9088,25,25561,25320,Thoraise,thoraise,47.169321428571,5.9081706349206
9089,25,25562,25310,Thulay,thulay,47.428957380952,6.8585114285714
9090,25,25563,25870,Thurey-le-Mont,thurey le mont,47.376303617021,6.1354070212766
9091,25,25564,25320,Torpes,torpes,47.173444313725,5.8817792156863
9092,25,25565,25370,Touillon-et-Loutelet,touillon et loutelet,46.797235904762,6.3530121904762
9093,25,25566,25640,La Tour-de-Sçay,la tour de scay,47.383202151899,6.2192020253165
9094,25,25567,25680,Tournans,tournans,47.404559752066,6.3148401652893
9095,25,25569,25620,Trépot,trepot,47.165840736842,6.1681350526316
9096,25,25570,25680,Tressandans,tressandans,47.496644929577,6.337074084507
9097,25,25571,25470,Trévillers,trevillers,47.283377053571,6.8726933035714
9098,25,25572,25680,Trouvans,trouvans,47.419408714286,6.3470178571429
9099,25,25573,25470,Urtière,urtiere,47.257735873016,6.9235998412698
9100,25,25574,25340,Uzelle,uzelle,47.464336666667,6.4451608333333
9101,25,25575,25220,Vaire,vaire,47.277807471264,6.1481181609195
9102,25,25578,25800,Valdahon,valdahon,47.161560773196,6.3324358762887
9103,25,25579,25640,Val-de-Roulans,val de roulans,47.3589725,6.2666586538462
9104,25,25580,25700,Valentigney,valentigney,47.460042337662,6.8281233766234
9105,25,25582,25870,Valleroy,valleroy,47.386257368421,6.1231842105263
9106,25,25583,25190,Valonne,valonne,47.340757922078,6.6690025974026
9107,25,25584,25190,Valoreille,valoreille,47.292881415094,6.7405323584906
9108,25,25586,25230,Vandoncourt,vandoncourt,47.46013028169,6.9090226760563
9109,25,25588,25380,Vaucluse,vaucluse,47.24820959596,6.6908615151515
9110,25,25589,25380,Vauclusotte,vauclusotte,47.276159818182,6.7320239090909
9111,25,25590,25360,Vaudrivillers,vaudrivillers,47.284274358974,6.4239905128205
9112,25,25591,25190,Vaufrey,vaufrey,47.341043312102,6.9303250318471
9113,25,25592,25160,Vaux-et-Chantegrue,vaux et chantegrue,46.807373214286,6.2496314285714
9114,25,25594,25410,Velesmes-Essarts,velesmes essarts,47.187786326531,5.8695869387755
9115,25,25595,25430,Vellerot-lès-Belvoir,vellerot les belvoir,47.348398947368,6.5944042105263
9116,25,25596,25530,Vellerot-lès-Vercel,vellerot les vercel,47.246658,6.446035
9117,25,25597,25430,Vellevans,vellevans,47.306018396947,6.5050245801527
9118,25,25598,25870,Venise,venise,47.352892222222,6.11243
9119,25,25599,25640,Vennans,vennans,47.330148510638,6.2337276595745
9120,25,25600,25390,Vennes,vennes,47.158637709924,6.5422838167939
9121,25,25601,25530,Vercel-Villedieu-le-Camp,vercel villedieu le camp,47.189727391304,6.3786132608696
9122,25,25602,25110,Vergranne,vergranne,47.407667123288,6.3936743835616
9123,25,25604,25110,Verne,verne,47.395990540541,6.3513712162162
9124,25,25605,25580,Vernierfontaine,vernierfontaine,47.114832787879,6.2954567878788
9125,25,25607,25430,Vernois-lès-Belvoir,vernois les belvoir,47.317915119048,6.6413267857143
9126,25,25608,25750,Le Vernoy,le vernoy,47.568943943662,6.6686987323944
9127,25,25609,25300,Verrières-de-Joux,verrieres de joux,46.886682666667,6.4408717777778
9128,25,25611,25660,La Vèze,la veze,47.198030138889,6.0741997222222
9129,25,25612,25870,Vieilley,vieilley,47.343887837838,6.0820381081081
9130,25,25613,25340,Viéthorey,viethorey,47.419892803738,6.4208146728972
9131,25,25614,25600,Vieux-Charmont,vieux charmont,47.523761935484,6.844645483871
9132,25,25615,25310,Villars-lès-Blamont,villars les blamont,47.368010581395,6.8707427906977
9133,25,25616,25410,Villars-Saint-Georges,villars saint georges,47.124318913043,5.8277282608696
9134,25,25617,25190,Villars-sous-Dampjoux,villars sous dampjoux,47.359696195652,6.7520535869565
9135,25,25618,25150,Villars-sous-Écot,villars sous ecot,47.419045555556,6.7004932407407
9136,25,25619,25240,Les Villedieu,les villedieu,46.721197092199,6.2677309219858
9137,25,25620,25650,Ville-du-Pont,ville du pont,47.006793945578,6.5001706122449
9138,25,25621,25270,Villeneuve-d'Amont,villeneuve d amont,46.937612876712,6.0263806849315
9139,25,25622,25170,Villers-Buzon,villers buzon,47.228694693878,5.8532675510204
9140,25,25623,25530,Villers-Chief,villers chief,47.22704593985,6.435904962406
9141,25,25624,25640,Villers-Grélot,villers grelot,47.3596928125,6.234298125
9142,25,25625,25510,Villers-la-Combe,villers la combe,47.238111782178,6.4616947524752
9143,25,25626,25110,Villers-Saint-Martin,villers saint martin,47.342791267606,6.4008153521127
9144,25,25627,25270,Villers-sous-Chalamont,villers sous chalamont,46.8947165625,6.0487520833333
9145,25,25628,25620,Villers-sous-Montrond,villers sous montrond,47.151763402062,6.0877004123711
9146,25,25629,25110,Voillans,voillans,47.391159596774,6.414535
9147,25,25630,25580,Voires,voires,47.100515696203,6.2615892405063
9148,25,25631,25320,Vorges-les-Pins,vorges les pins,47.1527406,5.9281218
9149,25,25632,25420,Voujeaucourt,voujeaucourt,47.474553125,6.7784621875
9150,25,25633,25840,Vuillafans,vuillafans,47.066652336449,6.2193871962617
9151,25,25634,25300,Vuillecin,vuillecin,46.949423802817,6.3380743661972
9152,25,25635,25430,Vyt-lès-Belvoir,vyt les belvoir,47.3472025,6.623530375
