,,,,-NORD,,,
22377,59,59068,59145,Berlaimont,berlaimont,50.205057841727,3.7955674100719
22378,59,59069,59213,Bermerain,bermerain,50.252984527027,3.5335400675676
22379,59,59070,59570,Bermeries,bermeries,50.286886164384,3.7490406849315
22380,59,59071,59235,Bersée,bersee,50.472590487805,3.1498120325203
22381,59,59072,59600,Bersillies,bersillies,50.32408375,3.9988145833333
22382,59,59073,59270,Berthen,berthen,50.777234957983,2.6880084033613
22383,59,59074,59980,Bertry,bertry,50.083880333333,3.4409395555556
22384,59,59075,59540,Béthencourt,bethencourt,50.144176153846,3.4219706410256
22385,59,59076,59600,Bettignies,bettignies,50.334839473684,3.971258245614
22386,59,59077,59570,Bettrechies,bettrechies,50.324261411765,3.7433107058824
22387,59,59078,59216,Beugnies,beugnies,50.170532631579,3.9933382236842
22388,59,59079,59192,Beuvrages,beuvrages,50.38778122807,3.5039542105263
22389,59,59080,59310,Beuvry-la-Forêt,beuvry la foret,50.448180728477,3.2897266887417
22390,59,59081,59217,Bévillers,bevillers,50.159282962963,3.3926059259259
22391,59,59082,59380,Bierne,bierne,50.967192727273,2.4093702597403
22392,59,59083,59380,Bissezeele,bissezeele,50.914114444444,2.4059822222222
22393,59,59084,59173,Blaringhem,blaringhem,50.687257066667,2.4028544
22394,59,59085,59268,Blécourt,blecourt,50.217387959184,3.2136426530612
22395,59,59086,59299,Boeschepe,boeschepe,50.797483591549,2.6974621126761
22396,59,59087,59189,Boëseghem,boeseghem,50.671966984127,2.4386950793651
22397,59,59088,59280,Bois-Grenier,bois grenier,50.651463541667,2.8767783333333
22398,59,59089,59470,Bollezeele,bollezeele,50.865031242236,2.3425377639752
22399,59,59090,59910,Bondues,bondues,50.710061230769,3.096024
22400,59,59091,59190,Borre,borre,50.736700555556,2.5778338888889
22401,59,59092,59111,Bouchain,bouchain,50.282290060976,3.3110043902439
22402,59,59093,59440,Boulogne-sur-Helpe,boulogne sur helpe,50.078418888889,3.8875304444444
22403,59,59094,59630,Bourbourg,bourbourg,50.938735294118,2.2037294117647
22404,59,59096,59830,Bourghelles,bourghelles,50.561294893617,3.2486678723404
22405,59,59097,59400,Boursies,boursies,50.141841777778,3.0428217777778
22406,59,59098,59166,Bousbecque,bousbecque,50.7638609375,3.07390390625
22407,59,59099,59222,Bousies,bousies,50.149546231884,3.6199752173913
22408,59,59100,59178,Bousignies,bousignies,50.431470789474,3.3572397368421
22409,59,59101,59149,Bousignies-sur-Roc,bousignies sur roc,50.26799940678,4.181736779661
22410,59,59102,59217,Boussières-en-Cambrésis,boussieres en cambresis,50.162354597701,3.3714896551724
22411,59,59103,59330,Boussières-sur-Sambre,boussieres sur sambre,50.243962533333,3.8796245333333
22412,59,59104,59168,Boussois,boussois,50.294920666667,4.0471215
22413,59,59105,59870,Bouvignies,bouvignies,50.432901168831,3.2361941558441
22414,59,59106,59830,Bouvines,bouvines,50.582553018868,3.1951890566038
22415,59,59107,59123,Bray-Dunes,bray dunes,51.071595,2.517258
22416,59,59108,59730,Briastre,briastre,50.150435925926,3.4823162962963
22417,59,59109,59178,Brillon,brillon,50.43442164557,3.3383255696202
22418,59,59110,59630,Brouckerque,brouckerque,50.951412258065,2.2778077419355
22419,59,59111,59470,Broxeele,broxeele,50.831075192308,2.3221359615385
22420,59,59112,59860,Bruay-sur-l'Escaut,bruay sur l escaut,50.394942272727,3.542082
22421,59,59113,59490,Bruille-lez-Marchiennes,bruille lez marchiennes,50.353724313725,3.2461951960784
22422,59,59114,59199,Bruille-Saint-Amand,bruille saint amand,50.468050597015,3.5078908955224
22423,59,59115,59151,Brunémont,brunemont,50.271950434783,3.1443273913043
22424,59,59116,59144,Bry,bry,50.315762380952,3.6882953571429
22425,59,59117,59151,Bugnicourt,bugnicourt,50.29089147541,3.1539013114754
22426,59,59118,59137,Busigny,busigny,50.034937875,3.469605375
22427,59,59119,59285,Buysscheure,buysscheure,50.802011136364,2.3366206818182
22428,59,59120,59190,Caëstre,caestre,50.757743207547,2.6080082075472
22429,59,59121,59161,Cagnoncles,cagnoncles,50.186934505494,3.3187871428571
22430,59,59122,59400,Cambrai,cambrai,50.174166097561,3.2379126341463
22431,59,59123,59133,Camphin-en-Carembault,camphin en carembault,50.509254776119,2.9928465671642
22432,59,59124,59780,Camphin-en-Pévèle,camphin en pevele,50.591185757576,3.258863030303
22433,59,59125,59267,Cantaing-sur-Escaut,cantaing sur escaut,50.146458125,3.1579751041667
22434,59,59126,59169,Cantin,cantin,50.308636206897,3.1281934482759
22435,59,59127,59213,Capelle,capelle,50.240496818182,3.5550130681818
22436,59,59128,59160,Capinghem,capinghem,50.64849,2.9639976470588
22437,59,59129,59242,Cappelle-en-Pévèle,cappelle en pevele,50.506461333333,3.1762589333333
22438,59,59130,59630,Cappelle-Brouck,cappelle brouck,50.893049885057,2.2176774712644
22439,59,59131,59180,Cappelle-la-Grande,cappelle la grande,50.991869272727,2.368614
22440,59,59132,59217,Carnières,carnieres,50.163314285714,3.3479178151261
22441,59,59133,59112,Carnin,carnin,50.520580793651,2.9591733333333
22442,59,59134,59244,Cartignies,cartignies,50.071402111801,3.8489464596273
22443,59,59135,59670,Cassel,cassel,50.798906142857,2.4944090714286
22444,59,59136,59360,Le Cateau-Cambrésis,le cateau cambresis,50.096347363184,3.5452188557214
22445,59,59137,59360,Catillon-sur-Sambre,catillon sur sambre,50.071237226891,3.6472675630252
22446,59,59138,59217,Cattenières,cattenieres,50.133239,3.3337544
22447,59,59139,59540,Caudry,caudry,50.117314299065,3.4217230841122
22448,59,59140,59191,Caullery,caullery,50.083271914894,3.3733636170213
22449,59,59141,59400,Cauroir,cauroir,50.170432921348,3.2956265168539
22450,59,59142,59680,Cerfontaine,cerfontaine,50.2611038,4.0212974
22451,59,59143,59930,La Chapelle-d'Armentières,la chapelle d armentieres,50.666869605263,2.8894030263158
22452,59,59144,59230,Château-l'Abbaye,chateau l abbaye,50.48825,3.4719951351351
22453,59,59145,59147,Chemy,chemy,50.5318545,2.996854
22454,59,59146,59152,Chéreng,chereng,50.61078046875,3.21067703125
22455,59,59147,59740,Choisies,choisies,50.210695603448,4.0456231034483
22456,59,59148,59740,Clairfayts,clairfayts,50.154537986111,4.1252786111111
22457,59,59149,59225,Clary,clary,50.069354069767,3.3945497674419
22458,59,59150,59830,Cobrieux,cobrieux,50.540346262626,3.2372421212121
22459,59,59151,59680,Colleret,colleret,50.260402402597,4.089891038961
22460,59,59152,59560,Comines,comines,50.747981308411,3.0242112149533
22461,59,59153,59163,Condé-sur-l'Escaut,conde sur l escaut,50.457768489209,3.6075205755396
22462,59,59155,59210,Coudekerque-Branche,coudekerque branche,51.01443734375,2.3909584375
22463,59,59156,59552,Courchelettes,courchelettes,50.343400909091,3.0623267272727
22464,59,59157,59149,Cousolre,cousolre,50.231515982906,4.1514429059829
22465,59,59158,59310,Coutiches,coutiches,50.446507083333,3.2002001785714
22466,59,59159,59279,Craywick,craywick,50.973461594203,2.2171860869565
22467,59,59160,59154,Crespin,crespin,50.42075362963,3.6485915555556
22468,59,59161,59258,Crèvecœur-sur-l'Escaut,crevecoeur sur l escaut,50.079839748428,3.2691303144654
22469,59,59162,59380,Crochte,crochte,50.92606755814,2.4029691860465
22470,59,59163,59170,Croix,croix,50.674779099099,3.155395045045
22471,59,59164,59222,Croix-Caluyau,croix caluyau,50.151516097561,3.5862753658537
22472,59,59165,59553,Cuincy,cuincy,50.37387503876,3.0335325581395
22473,59,59166,59990,Curgies,curgies,50.325276712329,3.6096430136986
22474,59,59167,59268,Cuvillers,cuvillers,50.221681724138,3.2370805172414
22475,59,59168,59830,Cysoing,cysoing,50.560108441558,3.2071833116883
22476,59,59169,59680,Damousies,damousies,50.219958507463,4.0120876865672
22477,59,59170,59187,Dechy,dechy,50.348550294118,3.1339348039216
22478,59,59171,59127,Dehéries,deheries,50.049459655172,3.344155862069
22479,59,59172,59220,Denain,denain,50.33131443038,3.3887474683544
22480,59,59173,59890,Deûlémont,deulemont,50.7276746875,2.9681923958333
22481,59,59174,59740,Dimechaux,dimechaux,50.200664076433,4.047223566879
22482,59,59175,59216,Dimont,dimont,50.187751597222,4.0185516666667
22483,59,59176,59400,Doignies,doignies,50.133465643564,3.0152156435644
22484,59,59177,59440,Dompierre-sur-Helpe,dompierre sur helpe,50.142552,3.8526650212766
22485,59,59178,59500,Douai,douai,50.383280867347,3.0936213265306
22486,59,59179,59282,Douchy-les-Mines,douchy les mines,50.298905354331,3.3878645669291
22487,59,59180,59940,Le Doulieu,le doulieu,50.679499705882,2.6995877941177
22488,59,59181,59440,Dourlers,dourlers,50.176925855856,3.9419763963964
22489,59,59182,59630,Drincham,drincham,50.909261666667,2.3227366666667
22490,59,59183,59140,Dunkerque,dunkerque,51.0460018,2.3579275
22491,59,59183,59240,Dunkerque,dunkerque,51.0450181,2.4062944
22492,59,59183,59279,Dunkerque,dunkerque,51.00158,2.2274287
22493,59,59183,59430,Dunkerque,dunkerque,51.033515,2.3296549
22494,59,59183,59640,Dunkerque,dunkerque,51.0149751,2.343224
22495,59,59184,59173,Ebblinghem,ebblinghem,50.732522674419,2.4229308139535
22496,59,59185,59176,Écaillon,ecaillon,50.345410131579,3.2163786842105
22497,59,59186,59740,Eccles,eccles,50.198610555556,4.0989741666667
22498,59,59187,59330,Éclaibes,eclaibes,50.1967602,3.9435414
22499,59,59188,59620,Écuélin,ecuelin,50.192269122807,3.8978071929825
22500,59,59189,59114,Eecke,eecke,50.783603673469,2.6029817346939
22501,59,59190,59600,Élesmes,elesmes,50.306159014085,4.0073921126761
22502,59,59191,59127,Élincourt,elincourt,50.042126136364,3.3672790909091
22503,59,59192,59580,Émerchicourt,emerchicourt,50.313942985075,3.2605819402985
22504,59,59193,59320,Emmerin,emmerin,50.590641956522,3.0049591304348
22505,59,59194,59530,Englefontaine,englefontaine,50.191949705882,3.6405869117647
22506,59,59195,59320,Englos,englos,50.627124516129,2.9599220967742
22507,59,59196,59320,Ennetières-en-Weppes,ennetieres en weppes,50.636113292683,2.937612195122
22508,59,59197,59710,Ennevelin,ennevelin,50.536199059829,3.1300134188034
22509,59,59198,59132,Eppe-Sauvage,eppe sauvage,50.11426875576,4.1558306912442
22510,59,59199,59169,Erchin,erchin,50.3152288,3.1677012
22511,59,59200,59470,Eringhem,eringhem,50.888015655738,2.3082168852459
22512,59,59201,59320,Erquinghem-le-Sec,erquinghem le sec,50.61084,2.9344731428571
22513,59,59202,59193,Erquinghem-Lys,erquinghem lys,50.670738589744,2.8413202564103
22514,59,59203,59171,Erre,erre,50.364854518518,3.3178668148148
22515,59,59204,59213,Escarmain,escarmain,50.225409078947,3.5510678947368
22516,59,59205,59124,Escaudain,escaudain,50.335281891892,3.3423052027027
22517,59,59206,59161,Escaudœuvres,escaudoeuvres,50.192638441558,3.2769736363636
22518,59,59207,59278,Escautpont,escautpont,50.417567636364,3.5624058181818
22519,59,59208,59320,Escobecques,escobecques,50.622716511628,2.9304079069767
22520,59,59209,59127,Esnes,esnes,50.094961181818,3.3131823636364
22521,59,59210,59470,Esquelbecq,esquelbecq,50.895145434783,2.4357916304348
22522,59,59211,59553,Esquerchin,esquerchin,50.384342948718,3.0051019230769
22523,59,59212,59940,Estaires,estaires,50.654833258427,2.7167223595506
22524,59,59213,59400,Estourmel,estourmel,50.151301304348,3.3250523188406
22525,59,59214,59151,Estrées,estrees,50.300590588235,3.0733617647059
22526,59,59215,59990,Estreux,estreux,50.349872666667,3.6022473333333
22527,59,59216,59161,Eswars,eswars,50.215076481481,3.2674959259259
22528,59,59217,59144,Eth,eth,50.32603779661,3.6662301694915
22529,59,59218,59219,Étrœungt,etroeungt,50.063071395349,3.9366262790698
22530,59,59219,59295,Estrun,estrun,50.243406341463,3.2947251219512
22531,59,59220,59155,Faches-Thumesnil,faches thumesnil,50.59163375,3.0719475
22532,59,59221,59300,Famars,famars,50.313283928571,3.5273709523809
22533,59,59222,59310,Faumont,faumont,50.455396153846,3.1367447435897
22534,59,59223,59550,Le Favril,le favril,50.090049,3.7154709
22535,59,59224,59247,Féchain,fechain,50.265769821429,3.2124801785714
22536,59,59225,59750,Feignies,feignies,50.296784497608,3.9118
22537,59,59226,59740,Felleries,felleries,50.138087515337,4.0548888957055
22538,59,59227,59179,Fenain,fenain,50.360404146341,3.3010857317073
22539,59,59228,59169,Férin,ferin,50.330561348315,3.0786030337079
22540,59,59229,59610,Féron,feron,50.04910825,4.0223065
22541,59,59230,59680,Ferrière-la-Grande,ferriere la grande,50.247680578512,3.9938804132231
22542,59,59231,59680,Ferrière-la-Petite,ferriere la petite,50.240838021978,4.022745054945
22543,59,59232,59570,La Flamengrie,la flamengrie,50.309763939394,3.7196571212121
22544,59,59233,59440,Flaumont-Waudrechies,flaumont waudrechies,50.131023653846,3.9713725961538
22545,59,59234,59128,Flers-en-Escrebieux,flers en escrebieux,50.401587985075,3.0475837313433
22546,59,59236,59267,Flesquières,flesquieres,50.124204851485,3.1188282178218
22547,59,59237,59270,Flêtre,fletre,50.759691142857,2.6398269523809
22548,59,59238,59158,Flines-lès-Mortagne,flines les mortagne,50.508800081301,3.4916229674797
22549,59,59239,59148,Flines-lez-Raches,flines lez raches,50.422631538462,3.1829627272727
22550,59,59240,59440,Floursies,floursies,50.185061648352,3.9745836263736
22551,59,59241,59219,Floyon,floyon,50.038917575758,3.8764078787879
22552,59,59242,59550,Fontaine-au-Bois,fontaine au bois,50.136099450549,3.6407357142857
22553,59,59243,59157,Fontaine-au-Pire,fontaine au pire,50.125918113208,3.3653611320755
22554,59,59244,59400,Fontaine-Notre-Dame,fontaine notre dame,50.165581546392,3.1713907216495
22555,59,59246,59222,Forest-en-Cambrésis,forest en cambresis,50.138850421053,3.5714758947368
22556,59,59247,59510,Forest-sur-Marque,forest sur marque,50.632866153846,3.1894297435897
22557,59,59249,59610,Fourmies,fourmies,50.010041086957,4.0654163043478
22558,59,59250,59134,Fournes-en-Weppes,fournes en weppes,50.592569863014,2.8909043835616
22559,59,59251,59530,Frasnoy,frasnoy,50.276271940299,3.6675689552239
22560,59,59252,59236,Frelinghien,frelinghien,50.702965844156,2.9510957142857
22561,59,59253,59970,Fresnes-sur-Escaut,fresnes sur escaut,50.433982231405,3.5767166942149
22562,59,59254,59234,Fressain,fressain,50.282515555556,3.1914955555556
22563,59,59255,59268,Fressies,fressies,50.248845697674,3.1882581395349
22564,59,59256,59273,Fretin,fretin,50.568468735632,3.1277128735632
22565,59,59257,59249,Fromelles,fromelles,50.609001066667,2.8543364
22566,59,59258,59242,Genech,genech,50.531772406015,3.2177898496241
22567,59,59259,59530,Ghissignies,ghissignies,50.227020833333,3.6178814583333
22568,59,59260,59122,Ghyvelde,ghyvelde,51.051858,2.526616
22569,59,59260,59254,Ghyvelde,ghyvelde,51.0531525,2.5162086
22570,59,59261,59132,Glageon,glageon,50.054440740741,4.0628484444444
22571,59,59262,59270,Godewaersvelde,godewaersvelde,50.792939777778,2.6452744444444
22572,59,59263,59169,Gœulzin,goeulzin,50.318652222222,3.100222962963
22573,59,59264,59600,Gognies-Chaussée,gognies chaussee,50.319674205607,3.9404285981308
22574,59,59265,59144,Gommegnies,gommegnies,50.267413857143,3.7023052857143
22575,59,59266,59147,Gondecourt,gondecourt,50.544334065934,2.9792107692308
22576,59,59267,59231,Gonnelieu,gonnelieu,50.059819387755,3.16007
22577,59,59268,59253,La Gorgue,la gorgue,50.629483555556,2.7353125925926
22578,59,59269,59231,Gouzeaucourt,gouzeaucourt,50.054955445545,3.1143898019802
22579,59,59270,59244,Grand-Fayt,grand fayt,50.113282109375,3.802928828125
22580,59,59271,59760,Grande-Synthe,grande synthe,51.013852380952,2.3019447619048
22581,59,59272,59153,Grand-Fort-Philippe,grand fort philippe,51.005380952381,2.0931604761905
22582,59,59273,59820,Gravelines,gravelines,50.99945591623,2.1428814659686
22583,59,59274,59360,La Groise,la groise,50.075841846154,3.6855646153846
22584,59,59275,59152,Gruson,gruson,50.593451698113,3.2113552830189
22585,59,59276,59287,Guesnain,guesnain,50.346324925373,3.1448770149254
22586,59,59277,59570,Gussignies,gussignies,50.339985673077,3.7484410576923
22587,59,59278,59320,Hallennes-lez-Haubourdin,hallennes lez haubourdin,50.6100648,2.9554909
22588,59,59279,59250,Halluin,halluin,50.771090864198,3.1256227160494
22589,59,59280,59151,Hamel,hamel,50.282381041667,3.0681727083333
22590,59,59281,59496,Hantay,hantay,50.539717111111,2.8698371111111
22591,59,59282,59670,Hardifort,hardifort,50.817074677419,2.4805248387097
22592,59,59283,59138,Hargnies,hargnies,50.256455362319,3.8434750724638
22593,59,59284,59178,Hasnon,hasnon,50.411385454545,3.3869537190083
22594,59,59285,59198,Haspres,haspres,50.266899736842,3.4115411403509
22595,59,59286,59320,Haubourdin,haubourdin,50.603865333333,2.9858473333333
22596,59,59287,59191,Haucourt-en-Cambrésis,haucourt en cambresis,50.10599,3.3402319642857
22597,59,59288,59121,Haulchin,haulchin,50.31229125,3.4221055681818
22598,59,59289,59294,Haussy,haussy,50.222161603774,3.4819326415094
22599,59,59290,59440,Haut-Lieu,haut lieu,50.105166607143,3.9145214285714
22600,59,59291,59330,Hautmont,hautmont,50.24525887931,3.9160229310345
22601,59,59292,59255,Haveluy,haveluy,50.35467,3.4039318811881
22602,59,59293,59660,Haverskerque,haverskerque,50.637813757576,2.5446436969697
22603,59,59294,59268,Haynecourt,haynecourt,50.212612830189,3.1551113207547
22604,59,59295,59190,Hazebrouck,hazebrouck,50.73223890625,2.5377189583333
22605,59,59296,59530,Hecq,hecq,50.181501794872,3.6523294871795
22606,59,59297,59171,Hélesmes,helesmes,50.371020763889,3.3593702777778
22607,59,59299,59510,Hem,hem,50.653975,3.190890945946
22608,59,59300,59247,Hem-Lenglet,hem lenglet,50.253220253165,3.2275912658228
22609,59,59301,59199,Hergnies,hergnies,50.487518782609,3.5319353478261
22610,59,59302,59195,Hérin,herin,50.356785648148,3.4450215740741
22611,59,59303,59134,Herlies,herlies,50.585333684211,2.8507869736842
22612,59,59304,59147,Herrin,herrin,50.5462,2.9658784210526
22613,59,59305,59470,Herzeele,herzeele,50.885838038462,2.5324219230769
22614,59,59306,59740,Hestrud,hestrud,50.205322545455,4.1439224545455
22615,59,59307,59143,Holque,holque,50.854050227273,2.2061313636364
22616,59,59308,59190,Hondeghem,hondeghem,50.752999866667,2.5184660666667
22617,59,59309,59122,Hondschoote,hondschoote,50.969810198676,2.5862221192053
22618,59,59310,59570,Hon-Hergies,hon hergies,50.336598358209,3.8117617910448
22619,59,59311,59980,Honnechy,honnechy,50.069911190476,3.4848752380952
22620,59,59312,59266,Honnecourt-sur-Escaut,honnecourt sur escaut,50.032030079365,3.2017644444444
22621,59,59313,59111,Hordain,hordain,50.26005012987,3.3270593506493
22622,59,59314,59171,Hornaing,hornaing,50.370692765957,3.3361906382979
22623,59,59315,59570,Houdain-lez-Bavay,houdain lez bavay,50.333183262411,3.787200141844
22624,59,59316,59263,Houplin-Ancoisne,houplin ancoisne,50.563936615385,3.0012058461539
22625,59,59317,59116,Houplines,houplines,50.684969222222,2.9237978888889
22626,59,59318,59470,Houtkerque,houtkerque,50.884169579439,2.5863935981308
22627,59,59319,59492,Hoymille,hoymille,50.971889058824,2.4504064705882
22628,59,59320,59480,Illies,illies,50.560486363636,2.8293
22629,59,59321,59540,Inchy,inchy,50.122160149254,3.4712465671642
22630,59,59322,59141,Iwuy,iwuy,50.234377216495,3.3324016494845
22631,59,59323,59144,Jenlain,jenlain,50.310366391753,3.6347135051546
22632,59,59324,59460,Jeumont,jeumont,50.289736153846,4.0994368269231
22633,59,59325,59530,Jolimetz,jolimetz,50.230976785714,3.6775042857143
22634,59,59326,59122,Killem,killem,50.958699058824,2.5632447058823
22635,59,59327,59167,Lallaing,lallaing,50.384756238532,3.167499266055
22636,59,59328,59130,Lambersart,lambersart,50.654677666667,3.0262496666667
22637,59,59329,59552,Lambres-lez-Douai,lambres lez douai,50.353863066667,3.0595843333333
22638,59,59330,59310,Landas,landas,50.471526256684,3.2931175935829
22639,59,59331,59550,Landrecies,landrecies,50.121048915663,3.6907353614458
22640,59,59332,59390,Lannoy,lannoy,50.666494444444,3.2109788888889
22641,59,59333,59219,Larouillies,larouillies,50.036046842105,3.9322094736842
22642,59,59334,59553,Lauwin-Planque,lauwin planque,50.392109014084,3.0376626760563
22643,59,59335,59226,Lecelles,lecelles,50.477245104167,3.3983099479167
22644,59,59336,59259,Lécluse,lecluse,50.276091538462,3.0287571153846
22645,59,59337,59143,Lederzeele,lederzeele,50.815624210526,2.2876882894737
22646,59,59338,59470,Ledringhem,ledringhem,50.860102,2.45474125
22647,59,59339,59115,Leers,leers,50.681484259259,3.2382177777778
22648,59,59340,59495,Leffrinckoucke,leffrinckoucke,51.040867586207,2.4541790804598
22649,59,59341,59258,Lesdain,lesdain,50.089573134328,3.2730940298507
22650,59,59342,59740,Lez-Fontaine,lez fontaine,50.172112317073,4.0629804878049
22651,59,59343,59810,Lesquin,lesquin,50.589579888889,3.1164534444445
22652,59,59344,59620,Leval,leval,50.181161832061,3.8309447328244
22653,59,59345,59287,Lewarde,lewarde,50.336609268293,3.1681606097561
22654,59,59346,59260,Lezennes,lezennes,50.610968333333,3.117624
22655,59,59347,59740,Liessies,liessies,50.113445970149,4.0809258208955
22656,59,59348,59111,Lieu-Saint-Amand,lieu saint amand,50.273182753623,3.3492471014493
22657,59,59349,59191,Ligny-en-Cambrésis,ligny en cambresis,50.1007248,3.3798809333333
22658,59,59350,59000,Lille,lille,50.6138111,3.0423599
22659,59,59350,59160,Lille,lille,50.6464173,2.9853856
22660,59,59350,59260,Lille,lille,50.6144068,3.1180785
22661,59,59350,59777,Lille,lille,50.6376371,3.0748526
22662,59,59350,59800,Lille,lille,50.6335574,3.0808253
22663,59,59351,59330,Limont-Fontaine,limont fontaine,50.211058494624,3.9233044086022
22664,59,59352,59126,Linselles,linselles,50.734942014925,3.0708686567164
22665,59,59353,59530,Locquignol,locquignol,50.197397387863,3.7542775197889
22666,59,59354,59182,Loffre,loffre,50.353539310345,3.1731386206897
22667,59,59356,59840,Lompret,lompret,50.663192222222,2.9956997222222
22668,59,59357,59570,La Longueville,la longueville,50.301845082645,3.8731006198347
22669,59,59358,59630,Looberghe,looberghe,50.908010963855,2.2742851807229
22670,59,59359,59279,Loon-Plage,loon plage,51.006109803922,2.2013240686275
22671,59,59360,59120,Loos,loos,50.609905294118,3.0202158823529
22672,59,59361,59156,Lourches,lourches,50.310991666667,3.3589592857143
