,,,,-VENDEE,,,
33346,85,85040,85410,La Caillère-Saint-Hilaire,la caillere saint hilaire,46.630579036145,-0.92736413654618
33347,85,85041,85410,Cezais,cezais,46.588209402174,-0.79744293478261
33348,85,85042,85450,Chaillé-les-Marais,chaille les marais,46.376020384615,-1.0052923076923
33349,85,85045,85220,La Chaize-Giraud,la chaize giraud,46.649154533333,-1.8163973333333
33350,85,85046,85310,La Chaize-le-Vicomte,la chaize le vicomte,46.664859612188,-1.2946450969529
33351,85,85047,85300,Challans,challans,46.835802317073,-1.8491776585366
33352,85,85048,85500,Chambretaud,chambretaud,46.921237679558,-0.96959226519337
33353,85,85049,85450,Champagné-les-Marais,champagne les marais,46.358637226891,-1.143354789916
33354,85,85050,85540,Le Champ-Saint-Père,le champ saint pere,46.519130355731,-1.3534361660079
33355,85,85051,85110,Chantonnay,chantonnay,46.666454672686,-1.0424253498871
33356,85,85053,85120,La Chapelle-aux-Lys,la chapelle aux lys,46.621609572193,-0.64729187165775
33357,85,85054,85220,La Chapelle-Hermier,la chapelle hermier,46.676209221184,-1.7243260436137
33358,85,85055,85670,La Chapelle-Palluau,la chapelle palluau,46.784566440129,-1.6318725889968
33359,85,85056,85210,La Chapelle-Thémer,la chapelle themer,46.559680733591,-0.96513042471042
33360,85,85058,85400,Chasnais,chasnais,46.44453825,-1.23445825
33361,85,85059,85120,La Châtaigneraie,la chataigneraie,46.639823020134,-0.74047563758389
33362,85,85060,85180,Château-d'Olonne,chateau d olonne,46.492621511628,-1.7216295930233
33363,85,85061,85320,Château-Guibert,chateau guibert,46.570986490683,-1.2437976086957
33364,85,85062,85710,Châteauneuf,chateauneuf,46.92018125,-1.9292749305555
33365,85,85064,85140,Chauché,chauche,46.828290797546,-1.2687045092025
33366,85,85065,85250,Chavagnes-en-Paillers,chavagnes en paillers,46.890834542683,-1.2407217987805
33367,85,85066,85390,Chavagnes-les-Redoux,chavagnes les redoux,46.706593318965,-0.92295387931035
33368,85,85067,85390,Cheffois,cheffois,46.675038888889,-0.78377841880342
33369,85,85070,85220,Coëx,coex,46.71112605948,-1.7700199628253
33370,85,85071,85220,Commequiers,commequiers,46.773313068966,-1.8240125172414
33371,85,85072,85260,La Copechagnière,la copechagniere,46.85292625,-1.3556475961539
33372,85,85073,85320,Corpe,corpe,46.510624883721,-1.1721880620155
33373,85,85074,85320,La Couture,la couture,46.526729811321,-1.2620602830189
33374,85,85076,85610,Cugand,cugand,47.059294954545,-1.2555717727273
33375,85,85077,85540,Curzon,curzon,46.450578055556,-1.3046836111111
33376,85,85078,85420,Damvix,damvix,46.319978297872,-0.73971968085106
33377,85,85080,85200,Doix lès Fontaines,doix les fontaines,46.40659322314,-0.81299123966942
33378,85,85081,85170,Dompierre-sur-Yon,dompierre sur yon,46.757751989664,-1.3707377260982
33379,85,85082,85590,Les Epesses,les epesses,46.89148375,-0.90329386363636
33380,85,85083,85740,L'Épine,l epine,46.984238955224,-2.2629690049751
33381,85,85084,85140,Essarts en Bocage,essarts en bocage,46.779170622287,-1.2157076410999
33382,85,85086,85670,Falleron,falleron,46.873286633663,-1.7017821782178
33383,85,85087,85240,Faymoreau,faymoreau,46.540036040609,-0.63113934010152
33384,85,85088,85800,Le Fenouiller,le fenouiller,46.718654730539,-1.8934025748503
33385,85,85089,85280,La Ferrière,la ferriere,46.725419331395,-1.3469940116279
33386,85,85090,85700,Sèvremont,sevremont,46.841029464286,-0.84730816071429
33387,85,85092,85200,Fontenay-le-Comte,fontenay le comte,46.460812142857,-0.80292989795918
33388,85,85093,85480,Fougeré,fougere,46.663891733871,-1.2349731048387
33389,85,85094,85240,Foussais-Payré,foussais payre,46.513616747967,-0.68974444444444
33390,85,85095,85300,Froidfond,froidfond,46.885371307692,-1.7482827307692
33391,85,85096,85710,La Garnache,la garnache,46.897707622951,-1.8200904371585
33392,85,85097,85130,La Gaubretière,la gaubretiere,46.93779015674,-1.0451462382445
33393,85,85098,85190,La Genétouze,la genetouze,46.72578754386,-1.5016423684211
33394,85,85099,85150,Le Girouard,le girouard,46.576389885057,-1.5963579885057
33395,85,85100,85800,Givrand,givrand,46.680211574074,-1.8768088888889
33396,85,85101,85540,Le Givre,le givre,46.47226519084,-1.4040940839695
33397,85,85102,85670,Grand'Landes,grand landes,46.843198618785,-1.6464892265193
33398,85,85103,85440,Grosbreuil,grosbreuil,46.54715623431,-1.606829832636
33399,85,85104,85580,Grues,grues,46.38295609489,-1.3275903649635
33400,85,85105,85770,Le Gué-de-Velluire,le gue de velluire,46.368394931507,-0.90710821917808
33401,85,85106,85680,La Guérinière,la gueriniere,46.97158018018,-2.2425789189189
33402,85,85107,85600,La Guyonnière,la guyonniere,46.967809640719,-1.2546284431138
33403,85,85108,85260,L'Herbergement,l herbergement,46.919614957983,-1.3741214285714
33404,85,85109,85500,Les Herbiers,les herbiers,46.866104002911,-1.0251236390102
33405,85,85110,85570,L'Hermenault,l hermenault,46.519773461538,-0.89411769230769
33406,85,85111,85770,L'Île-d'Elle,l ile d elle,46.329984033613,-0.91794378151261
33407,85,85112,85340,L'Île-d'Olonne,l ile d olonne,46.575979011628,-1.7791930813954
33408,85,85113,85350,L'Île-d'Yeu,l ile d yeu,46.704099852507,-2.3509338053097
33409,85,85114,85520,Jard-sur-Mer,jard sur mer,46.425984540816,-1.6054022959184
33410,85,85115,85110,La Jaudonnière,la jaudonniere,46.650135102041,-0.96089115646258
33411,85,85116,85540,La Jonchère,la jonchere,46.437479818182,-1.3853907272727
33412,85,85117,85400,Lairoux,lairoux,46.44616328125,-1.26852953125
33413,85,85118,85150,Landeronde,landeronde,46.658828915094,-1.5791958018868
33414,85,85119,85130,Les Landes-Genusson,les landes genusson,46.972546108949,-1.1251314396887
33415,85,85120,85220,Landevieille,landevieille,46.646963415842,-1.7852136633663
33416,85,85121,85370,Le Langon,le langon,46.43718575,-0.949125875
33417,85,85123,85420,Liez,liez,46.369861083333,-0.70342925
33418,85,85125,85120,Loge-Fougereuse,loge fougereuse,46.618949692308,-0.69171384615385
33419,85,85126,85200,Longèves,longeves,46.471825826772,-0.85624039370079
33420,85,85127,85560,Longeville-sur-Mer,longeville sur mer,46.415701526718,-1.4798415267176
33421,85,85128,85400,Luçon,lucon,46.45826057554,-1.1582467625899
33422,85,85129,85170,Les Lucs-sur-Boulogne,les lucs sur boulogne,46.859213343109,-1.4866501759531
33423,85,85130,85190,Maché,mache,46.76819119171,-1.6861241968912
33424,85,85131,85400,Les Magnils-Reigniers,les magnils reigniers,46.460416538462,-1.2102777884615
33425,85,85132,85420,Maillé,maille,46.341974247788,-0.78495743362832
33426,85,85133,85420,Maillezais,maillezais,46.359510887097,-0.73637693548387
33427,85,85134,85590,Mallièvre,mallievre,46.911677777778,-0.86517666666667
33428,85,85135,85320,Mareuil-sur-Lay-Dissais,mareuil sur lay dissais,46.53855620178,-1.2254307121662
33429,85,85136,85240,Marillet,marillet,46.566093865546,-0.63713680672269
33430,85,85137,85570,Marsais-Sainte-Radégonde,marsais sainte radegonde,46.538759565217,-0.8717427173913
33431,85,85138,85150,Martinet,martinet,46.66803119171,-1.6802451813471
33432,85,85139,85420,Le Mazeau,le mazeau,46.332548405797,-0.67618449275362
33433,85,85140,85700,La Meilleraie-Tillay,la meilleraie tillay,46.743744463768,-0.85708423188406
33434,85,85141,85700,Menomblet,menomblet,46.730998477509,-0.72696820069204
33435,85,85142,85140,La Merlatière,la merlatiere,46.761885957447,-1.2956355319149
33436,85,85143,85200,Mervent,mervent,46.532491578947,-0.74948248538012
33437,85,85144,85500,Mesnard-la-Barotière,mesnard la barotiere,46.855540053763,-1.1042440860215
33438,85,85145,85110,Monsireigne,monsireigne,46.735308559322,-0.93765474576271
33439,85,85146,85600,Montaigu,montaigu,46.976550512821,-1.3130261538461
33440,85,85147,85700,Montournais,montournais,46.749445050505,-0.77476477272727
33441,85,85148,85200,Montreuil,montreuil,46.403302021277,-0.83903414893617
33442,85,85149,85450,Moreilles,moreilles,46.42191,-1.0964097297297
33443,85,85151,85290,Mortagne-sur-Sèvre,mortagne sur sevre,46.993881666667,-0.94342278645833
33444,85,85152,85150,Les Achards,les achards,46.596925760234,-1.668511374269
33445,85,85153,85640,Mouchamps,mouchamps,46.78110964455,-1.0534887914692
33446,85,85154,85390,Mouilleron-Saint-Germain,mouilleron saint germain,46.665411470588,-0.84308672794118
33447,85,85155,85000,Mouilleron-le-Captif,mouilleron le captif,46.706760229358,-1.4677247247706
33448,85,85156,85540,Moutiers-les-Mauxfaits,moutiers les mauxfaits,46.488528482143,-1.4288394642857
33449,85,85157,85320,Moutiers-sur-le-Lay,moutiers sur le lay,46.566059608696,-1.1808841304348
33450,85,85158,85370,Mouzeuil-Saint-Martin,mouzeuil saint martin,46.464250344828,-0.98316956896552
33451,85,85159,85370,Nalliers,nalliers,46.468866460177,-1.0327537168142
33452,85,85160,85310,Nesmy,nesmy,46.59801060241,-1.4106656927711
33453,85,85161,85430,Nieul-le-Dolent,nieul le dolent,46.566656606061,-1.5171567272727
33454,85,85162,85240,Nieul-sur-l'Autise,nieul sur l autise,46.4335476,-0.6671432
33455,85,85163,85330,Noirmoutier-en-l'Île,noirmoutier en l ile,47.011042375,-2.27147425
33456,85,85164,85690,Notre-Dame-de-Monts,notre dame de monts,46.840877153285,-2.0956344525547
33457,85,85166,85340,Olonne-sur-Mer,olonne sur mer,46.548399095023,-1.7877979638009
33458,85,85167,85200,L'Orbrie,l orbrie,46.500626209677,-0.77400790322581
33459,85,85168,85420,Oulmes,oulmes,46.396996969697,-0.66944045454545
33460,85,85169,85670,Palluau,palluau,46.808749375,-1.6074279017857
33461,85,85171,85320,Péault,peault,46.504562043011,-1.2290906451613
33462,85,85172,85300,Le Perrier,le perrier,46.815104535519,-1.9708336338798
33463,85,85174,85570,Petosse,petosse,46.480299315068,-0.91359
33464,85,85175,85320,Les Pineaux,les pineaux,46.596616281407,-1.1761708542714
33465,85,85176,85200,Pissotte,pissotte,46.503184836066,-0.8038312295082
33466,85,85177,85770,Le Poiré-sur-Velluire,le poire sur velluire,46.41819137931,-0.9123816091954
33467,85,85178,85170,Le Poiré-sur-Vie,le poire sur vie,46.769591985646,-1.5113155263158
33468,85,85179,85440,Poiroux,poiroux,46.51357225,-1.536242
33469,85,85181,85570,Pouillé,pouille,46.501375072464,-0.95893797101449
33470,85,85182,85700,Pouzauges,pouzauges,46.773540149701,-0.83052173652695
33471,85,85184,85240,Puy-de-Serre,puy de serre,46.561590053191,-0.66994734042553
33472,85,85185,85450,Puyravault,puyravault,46.347873584906,-1.1038204716981
33473,85,85186,85250,La Rabatelière,la rabateliere,46.858060670732,-1.2537695121951
33474,85,85187,85700,Réaumur,reaumur,46.718698633333,-0.8150532
33475,85,85188,85210,La Réorthe,la reorthe,46.610903066038,-1.0437841981132
33476,85,85189,85270,Notre-Dame-de-Riez,notre dame de riez,46.751035352941,-1.9031860588235
33477,85,85190,85620,Rocheservière,rocheserviere,46.929438498584,-1.4985124362606
33478,85,85191,85000,La Roche-sur-Yon,la roche sur yon,46.666570571992,-1.4227719526627
33479,85,85192,85510,Rochetrejoux,rochetrejoux,46.78573390411,-1.0085873972603
33480,85,85193,85320,Rosnay,rosnay,46.533186386555,-1.3075127731092
33481,85,85194,85100,Les Sables-d'Olonne,les sables d olonne,46.49721311828,-1.7834793548387
33482,85,85196,85250,Saint-André-Goule-d'Oie,saint andre goule d oie,46.85228010929,-1.2059148087432
33483,85,85197,85260,Montréverd,montreverd,46.905209651475,-1.4387109919571
33484,85,85198,85130,Saint-Aubin-des-Ormeaux,saint aubin des ormeaux,46.99616546729,-1.0436288317757
33485,85,85199,85210,Saint-Aubin-la-Plaine,saint aubin la plaine,46.501530784314,-1.068832254902
33486,85,85200,85540,Saint-Avaugourd-des-Landes,saint avaugourd des landes,46.511187474747,-1.4750090909091
33487,85,85201,85540,Saint-Benoist-sur-Mer,saint benoist sur mer,46.421392450331,-1.343940794702
33488,85,85202,85110,Sainte-Cécile,sainte cecile,46.736856234177,-1.1272074367089
33489,85,85204,85670,Saint-Christophe-du-Ligneron,saint christophe du ligneron,46.809984244898,-1.744484244898
33490,85,85205,85410,Saint-Cyr-des-Gâts,saint cyr des gats,46.572262272727,-0.86612368686869
33491,85,85206,85540,Saint-Cyr-en-Talmondais,saint cyr en talmondais,46.45937254717,-1.3369487735849
33492,85,85207,85580,Saint-Denis-du-Payré,saint denis du payre,46.4094134375,-1.273471484375
33493,85,85208,85170,Saint-Denis-la-Chevasse,saint denis la chevasse,46.834771966102,-1.3915313559322
33494,85,85209,85210,Saint-Étienne-de-Brillouet,saint etienne de brillouet,46.508601506849,-1.0106653424657
33495,85,85210,85670,Saint-Étienne-du-Bois,saint etienne du bois,46.832740574018,-1.5962910271903
33496,85,85211,85150,Sainte-Flaive-des-Loups,sainte flaive des loups,46.596755451613,-1.5824685483871
33497,85,85213,85310,Rives de l'Yon,rives de l yon,46.588965491803,-1.3397962909836
33498,85,85214,85150,Sainte-Foy,sainte foy,46.5415651,-1.701576
33499,85,85215,85250,Saint-Fulgent,saint fulgent,46.867771359517,-1.1637724773414
33500,85,85216,85400,Sainte-Gemme-la-Plaine,sainte gemme la plaine,46.471965688623,-1.1152970658683
33501,85,85217,85600,Saint-Georges-de-Montaigu,saint georges de montaigu,46.933846666667,-1.2705255714286
33502,85,85218,85150,Saint-Georges-de-Pointindoux,saint georges de pointindoux,46.638730414747,-1.637907235023
33503,85,85220,85110,Saint-Germain-de-Prinçay,saint germain de princay,46.738745025641,-1.0501830769231
33504,85,85221,85230,Saint-Gervais,saint gervais,46.928820087719,-1.9793957017544
33505,85,85222,85800,Saint-Gilles-Croix-de-Vie,saint gilles croix de vie,46.692201465517,-1.9212624137931
33506,85,85223,85210,Sainte-Hermine,sainte hermine,46.563762857143,-1.0720372161172
33507,85,85224,85600,Saint-Hilaire-de-Loulay,saint hilaire de loulay,47.009863958333,-1.3333517559524
33508,85,85226,85270,Saint-Hilaire-de-Riez,saint hilaire de riez,46.739903655914,-1.9651447311828
33509,85,85227,85240,Saint-Hilaire-des-Loges,saint hilaire des loges,46.487336085627,-0.65477944954128
33510,85,85229,85120,Saint-Hilaire-de-Voust,saint hilaire de voust,46.59205896861,-0.64735089686099
33511,85,85231,85440,Saint-Hilaire-la-Forêt,saint hilaire la foret,46.4562676,-1.5261811
33512,85,85232,85480,Saint-Hilaire-le-Vouhis,saint hilaire le vouhis,46.680887877984,-1.1562912201591
33513,85,85233,85210,Saint-Jean-de-Beugné,saint jean de beugne,46.523253076923,-1.1121627692308
33514,85,85234,85160,Saint-Jean-de-Monts,saint jean de monts,46.800609606061,-2.0314915454545
33515,85,85235,85210,Saint-Juire-Champgillon,saint juire champgillon,46.588063655589,-1.0123010271903
33516,85,85236,85150,Saint-Julien-des-Landes,saint julien des landes,46.641061672131,-1.7131434098361
33517,85,85237,85410,Saint-Laurent-de-la-Salle,saint laurent de la salle,46.580344770318,-0.9242116254417
33518,85,85238,85290,Saint-Laurent-sur-Sèvre,saint laurent sur sevre,46.954954086022,-0.89301634408602
33519,85,85239,85220,Saint-Maixent-sur-Vie,saint maixent sur vie,46.734915966387,-1.8266368907563
33520,85,85240,85590,Saint-Malô-du-Bois,saint malo du bois,46.927379060773,-0.91619994475138
33521,85,85242,85590,Saint-Mars-la-Réorthe,saint mars la reorthe,46.858985088757,-0.93148396449704
33522,85,85243,85470,Brem-sur-Mer,brem sur mer,46.611681875,-1.8070821022727
33523,85,85244,85200,Saint-Martin-de-Fraigneau,saint martin de fraigneau,46.4276445,-0.760348
33524,85,85245,85570,Saint-Martin-des-Fontaines,saint martin des fontaines,46.5498699,-0.9050928
33525,85,85246,85140,Saint-Martin-des-Noyers,saint martin des noyers,46.724046779661,-1.2045485423729
33526,85,85247,85130,Saint-Martin-des-Tilleuls,saint martin des tilleuls,46.970453292181,-1.0647388065844
33527,85,85248,85210,Saint-Martin-Lars-en-Sainte-Hermine,saint martin lars en sainte hermine,46.596129181287,-0.97377251461988
33528,85,85250,85150,Saint-Mathurin,saint mathurin,46.568675886288,-1.7091039799331
33529,85,85251,85120,Saint-Maurice-des-Noues,saint maurice des noues,46.59288683871,-0.73041548387097
33530,85,85252,85390,Saint-Maurice-le-Girard,saint maurice le girard,46.641678701923,-0.81661572115385
33531,85,85254,85700,Saint-Mesmin,saint mesmin,46.801321813187,-0.75089876373626
33532,85,85255,85580,Saint-Michel-en-l'Herm,saint michel en l herm,46.345568229665,-1.2512616746412
33533,85,85256,85200,Saint-Michel-le-Cloucq,saint michel le cloucq,46.490977732558,-0.73679290697674
33534,85,85259,85500,Saint-Paul-en-Pareds,saint paul en pareds,46.830598522727,-0.97185473484849
33535,85,85260,85670,Saint-Paul-Mont-Penit,saint paul mont penit,46.804222085308,-1.6614279146919
33536,85,85261,85320,Sainte-Pexine,sainte pexine,46.557098390805,-1.1220174137931
33537,85,85262,85660,Saint-Philbert-de-Bouaine,saint philbert de bouaine,46.985000764526,-1.4998158103975
33538,85,85264,85120,Saint-Pierre-du-Chemin,saint pierre du chemin,46.700454206897,-0.70474989655172
33539,85,85265,85420,Saint-Pierre-le-Vieux,saint pierre le vieux,46.399027153285,-0.72936562043796
33540,85,85266,85110,Saint-Prouant,saint prouant,46.747833521127,-0.96851746478873
33541,85,85267,85450,Sainte-Radégonde-des-Noyers,sainte radegonde des noyers,46.353104108527,-1.0763731007752
33542,85,85268,85220,Saint-Révérend,saint reverend,46.705287906977,-1.8270995930233
33543,85,85269,85420,Saint-Sigismond,saint sigismond,46.340397179487,-0.70536555555556
33544,85,85271,85410,Saint-Sulpice-en-Pareds,saint sulpice en pareds,46.610256027397,-0.83412294520548
33545,85,85273,85230,Saint-Urbain,saint urbain,46.883135148515,-2.0136936138614
33546,85,85274,85570,Saint-Valérien,saint valerien,46.543690740741,-0.94748117283951
33547,85,85276,85110,Saint-Vincent-Sterlanges,saint vincent sterlanges,46.742298529412,-1.0871792647059
33548,85,85277,85540,Saint-Vincent-sur-Graon,saint vincent sur graon,46.510002878788,-1.3876706565657
33549,85,85278,85520,Saint-Vincent-sur-Jard,saint vincent sur jard,46.435858598131,-1.5572745794392
33550,85,85280,85300,Sallertaine,sallertaine,46.860771566667,-1.9581210666667
33551,85,85281,85200,Sérigné,serigne,46.507546118421,-0.84712348684211
33552,85,85282,85110,Sigournais,sigournais,46.712764805825,-0.97936451456311
33553,85,85284,85300,Soullans,soullans,46.795662889518,-1.9127823796034
33554,85,85285,85310,Le Tablier,le tablier,46.559044456522,-1.330055
33555,85,85286,85450,La Taillée,la taillee,46.384963170732,-0.93744475609756
33556,85,85287,85390,Tallud-Sainte-Gemme,tallud sainte gemme,46.695894588235,-0.89796341176471
33557,85,85288,85440,Talmont-Saint-Hilaire,talmont saint hilaire,46.463577535817,-1.6280733524355
33558,85,85289,85120,La Tardière,la tardiere,46.661927681159,-0.72801990338164
33559,85,85290,85210,Thiré,thire,46.551213921569,-1.0083212418301
33560,85,85291,85480,Thorigny,thorigny,46.616026111111,-1.2538249691358
33561,85,85292,85410,Thouarsais-Bouildroux,thouarsais bouildroux,46.601109561404,-0.86602697368421
33562,85,85293,85130,Tiffauges,tiffauges,47.000865592105,-1.0985126315789
33563,85,85294,85360,La Tranche-sur-Mer,la tranche sur mer,46.354193764706,-1.4147394117647
33564,85,85295,85600,Treize-Septiers,treize septiers,46.99636,-1.2271951037344
33565,85,85296,85590,Treize-Vents,treize vents,46.917372593985,-0.84970744360902
33566,85,85297,85580,Triaize,triaize,46.360950789474,-1.200826754386
33567,85,85298,85150,Vairé,vaire,46.600777362319,-1.7429130144928
33568,85,85299,85770,Velluire,velluire,46.397516860465,-0.88131744186047
33569,85,85300,85190,Venansault,venansault,46.683886507936,-1.5396664814815
33570,85,85301,85250,Vendrennes,vendrennes,46.822165422535,-1.1209669014085
33571,85,85302,85130,La Verrie,la verrie,46.959441286089,-0.98834406824147
33572,85,85303,85770,Vix,vix,46.343931981982,-0.86043657657658
33573,85,85304,85450,Vouillé-les-Marais,vouille les marais,46.388769245283,-0.96840509433962
33574,85,85305,85120,Vouvant,vouvant,46.561547657143,-0.76337551428571
33575,85,85306,85240,Xanton-Chassenon,xanton chassenon,46.457014751381,-0.69649756906077
33576,85,85307,85460,La Faute-sur-Mer,la faute sur mer,46.317332626263,-1.3084436363636
